reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
45,73,69,0,0,0,t,23.7468115,None,0,0,0,38,0.1084407,,0.1059049,0.1084407,1.002831,1.002831,1.1195949,24.7646918,t,23.7468115,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
33,51,73,1,1,0,l,23.6890321,None,0,1,1,83,24.7743285,,24.7715326,24.7743285,25.7659884,25.7659884,25.7830767,49.4639921,l,23.6890321,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
39,82,120,2,2,0,l,16.5652118,None,0,2,2,45,49.4793003,,49.4755787,49.4793003,50.4788843,50.4788843,50.4788843,67.0492937,l,16.5652118,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
36,68,74,3,3,0,l,1.2039805,None,0,3,3,65,67.065069,,67.0550783,67.065069,68.0641746,68.0641746,68.0641746,69.2810933,l,1.2039805,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
37,56,135,4,4,0,t,3.0535175,None,0,4,4,50,69.296634,,69.2870552,69.296634,70.2956266,70.2956266,70.2956266,73.3608137,t,3.0535175,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
48,74,94,5,5,0,l,3.1367515,None,0,5,5,76,73.3765607,,73.3658279,73.3765607,74.3758244,74.3758244,74.3758244,77.5244162,l,3.1367515,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
39,93,39,6,6,0,l,1.2829029,None,0,6,6,80,77.5397396,,77.5326484,77.5397396,78.5390776,78.5390776,78.5390776,79.8387906,l,1.2829029,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
25,92,142,7,7,0,l,2.4100119,None,0,7,7,94,79.854534,,79.8436789,79.854534,80.8537145,80.8537145,80.8537145,83.2690193,l,2.4100119,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
38,76,108,8,8,0,l,1.6488182,None,0,8,8,28,83.2849686,,83.275014,83.2849686,84.2843149,84.2843149,84.2843149,85.9501153,l,1.6488182,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
17,87,149,9,9,0,t,1.7637677,None,0,9,9,68,85.9660466,,85.9566,85.9660466,86.9654259,86.9654259,86.9654259,88.7315201,t,1.7637677,None,ABI,1,2025-11-05_15h08.55.736,delay discounting,,2025.1.1,60.13536471,2025-11-05 15h09.15.734810 +0530
