thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.2574074074074074)],[np.float64(0.4425925925925926)],[1],[0],[0],[5.843268700002227],['target'],0,0,0,0,0.0559044,,10,0.0325777,0.0559044,0.0559044,0.0326016,5.8760378,[np.float64(-0.2574074074074074)],[np.float64(0.4425925925925926)],[1],[0],[0],[5.843268700002227],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
1,0,1,[np.float64(0.20462962962962963)],[np.float64(0.15648148148148147)],[1],[0],[0],[5.216993599955458],['target'],1,0,1,0,5.9086143,,10,5.8985448,5.9086143,5.9086143,0.0222908,11.1157202,[np.float64(0.20462962962962963)],[np.float64(0.15648148148148147)],[1],[0],[0],[5.216993599955458],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
2,0,2,[np.float64(-0.19537037037037036)],[np.float64(0.07777777777777778)],[1],[0],[0],[2.159937100019306],['target'],2,0,2,0,11.1454971,,5,11.1378429,11.1454971,11.1454971,0.0216062,13.29795,[np.float64(-0.19537037037037036)],[np.float64(0.07777777777777778)],[1],[0],[0],[2.159937100019306],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
3,0,3,[np.float64(-0.04259259259259259)],[np.float64(0.29907407407407405)],[1],[0],[0],[2.6192954999860376],['target'],3,0,3,0,13.3506668,,10,13.3402194,13.3506668,13.3506668,0.041856,15.9595623,[np.float64(-0.04259259259259259)],[np.float64(0.29907407407407405)],[1],[0],[0],[2.6192954999860376],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
4,0,4,[np.float64(-0.2759259259259259)],[np.float64(-0.2824074074074074)],[1],[0],[0],[2.44185640005162],['target'],4,0,4,0,15.975384,,5,15.9687018,15.975384,15.975384,0.0090373,18.4107195,[np.float64(-0.2759259259259259)],[np.float64(-0.2824074074074074)],[1],[0],[0],[2.44185640005162],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
5,0,5,[np.float64(0.19537037037037036)],[np.float64(0.38981481481481484)],[1],[0],[0],[2.426456499961205],['target'],5,0,5,0,18.4370285,,5,18.4300556,18.4370285,18.4370285,0.0191711,20.8565953,[np.float64(0.19537037037037036)],[np.float64(0.38981481481481484)],[1],[0],[0],[2.426456499961205],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
6,0,6,[np.float64(0.25277777777777777)],[np.float64(-0.34814814814814815)],[1],[0],[0],[3.433216900040861],['target'],6,0,6,0,20.9016941,,10,20.8872121,20.9016941,20.9016941,0.0303823,24.3205017,[np.float64(0.25277777777777777)],[np.float64(-0.34814814814814815)],[1],[0],[0],[3.433216900040861],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
7,0,7,[np.float64(0.325)],[np.float64(-0.2740740740740741)],[1],[0],[0],[1.5609514999669045],['target'],7,0,7,0,24.3550843,,10,24.3463503,24.3550843,24.3550843,0.0256962,25.9074468,[np.float64(0.325)],[np.float64(-0.2740740740740741)],[1],[0],[0],[1.5609514999669045],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
8,0,8,[np.float64(0.3611111111111111)],[np.float64(0.15555555555555556)],[1],[0],[0],[2.416757700033486],['target'],8,0,8,0,25.960619,,10,25.9511111,25.960619,25.960619,0.0432418,28.3679954,[np.float64(0.3611111111111111)],[np.float64(0.15555555555555556)],[1],[0],[0],[2.416757700033486],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
9,0,9,[np.float64(0.08055555555555556)],[np.float64(0.30648148148148147)],[1],[0],[0],[2.104056100011803],['target'],9,0,9,0,28.4072424,,10,28.395635,28.4072424,28.4072424,0.0274246,30.4997907,[np.float64(0.08055555555555556)],[np.float64(0.30648148148148147)],[1],[0],[0],[2.104056100011803],['target'],BBJ,1,2025-09-30_18h50.41.072,Visual search experiment,,2025.1.1,60.08709023,2025-09-30 18h50.52.001687 +0530
