thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.4722222222222222)],[np.float64(0.03888888888888889)],[1],[0],[0],[7.9964493999723345],['target'],0,0,0,0,0.0420241,,10,0.0236377,0.0420241,0.0420241,0.023658,8.0202421,[np.float64(0.4722222222222222)],[np.float64(0.03888888888888889)],[1],[0],[0],[7.9964493999723345],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
1,0,1,[np.float64(0.2898148148148148)],[np.float64(-0.10462962962962963)],[1],[0],[0],[1.994548799993936],['target'],1,0,1,0,8.0579745,,10,8.0498669,8.0579745,8.0579745,0.0292457,10.0445403,[np.float64(0.2898148148148148)],[np.float64(-0.10462962962962963)],[1],[0],[0],[1.994548799993936],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
2,0,2,[np.float64(0.3527777777777778)],[np.float64(0.1935185185185185)],[1],[0],[0],[1.743093300028704],['target'],2,0,2,0,10.075333,,5,10.0685727,10.075333,10.075333,0.0237369,11.8118428,[np.float64(0.3527777777777778)],[np.float64(0.1935185185185185)],[1],[0],[0],[1.743093300028704],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
3,0,3,[np.float64(-0.24444444444444444)],[np.float64(-0.26296296296296295)],[1],[0],[0],[2.862229100021068],['target'],3,0,3,0,11.8352921,,5,11.8304493,11.8352921,11.8352921,0.0181546,14.6927499,[np.float64(-0.24444444444444444)],[np.float64(-0.26296296296296295)],[1],[0],[0],[2.862229100021068],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
4,0,4,[np.float64(0.4898148148148148)],[np.float64(-0.34444444444444444)],[1],[0],[0],[4.587587199988775],['target'],4,0,4,0,14.7255981,,10,14.7175649,14.7255981,14.7255981,0.0246606,19.3053295,[np.float64(0.4898148148148148)],[np.float64(-0.34444444444444444)],[1],[0],[0],[4.587587199988775],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
5,0,5,[np.float64(0.22592592592592592)],[np.float64(0.487962962962963)],[1],[0],[0],[2.6111740000196733],['target'],5,0,5,0,19.3269584,,5,19.3221003,19.3269584,19.3269584,0.0162768,21.9333715,[np.float64(0.22592592592592592)],[np.float64(0.487962962962963)],[1],[0],[0],[2.6111740000196733],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
6,0,6,[np.float64(0.03518518518518519)],[np.float64(0.175)],[1],[0],[0],[2.5392050000373274],['target'],6,0,6,0,21.9738534,,10,21.9603945,21.9738534,21.9738534,0.0268685,24.4997409,[np.float64(0.03518518518518519)],[np.float64(0.175)],[1],[0],[0],[2.5392050000373274],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
7,0,7,[np.float64(-0.38333333333333336)],[np.float64(-0.062037037037037036)],[1],[0],[0],[2.2558454000391066],['target'],7,0,7,0,24.5360978,,10,24.5267444,24.5360978,24.5360978,0.0266477,26.782722,[np.float64(-0.38333333333333336)],[np.float64(-0.062037037037037036)],[1],[0],[0],[2.2558454000391066],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
8,0,8,[np.float64(0.016666666666666666)],[np.float64(0.28055555555555556)],[1],[0],[0],[2.9533279999741353],['target'],8,0,8,0,26.8182675,,10,26.8073425,26.8182675,26.8182675,0.024277,29.760786,[np.float64(0.016666666666666666)],[np.float64(0.28055555555555556)],[1],[0],[0],[2.9533279999741353],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
9,0,9,[np.float64(0.24444444444444444)],[np.float64(-0.22777777777777777)],[1],[0],[0],[2.870752899965737],['target'],9,0,9,0,29.7972723,,10,29.7868057,29.7972723,29.7972723,0.0257296,32.6576173,[np.float64(0.24444444444444444)],[np.float64(-0.22777777777777777)],[1],[0],[0],[2.870752899965737],['target'],DEM,1,2025-09-30_18h07.21.974,Visual search experiment,,2025.1.1,59.962859,2025-09-30 18h07.29.912565 +0530
