thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(0.35)],[np.float64(-0.38333333333333336)],[1],[0],[0],[2.496219300024677],['target'],0,0,0,0,0.0352169,,5,0.0232064,0.0352169,0.0352169,0.0232521,2.5195937,[np.float64(0.35)],[np.float64(-0.38333333333333336)],[1],[0],[0],[2.496219300024677],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
1,0,1,[np.float64(-0.20833333333333334)],[np.float64(-0.25833333333333336)],[1],[0],[0],[2.7432600000174716],['target'],1,0,1,0,2.5713639,,10,2.5568592,2.5713639,2.5713639,0.037027,5.3001694,[np.float64(-0.20833333333333334)],[np.float64(-0.25833333333333336)],[1],[0],[0],[2.7432600000174716],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
2,0,2,[np.float64(0.14351851851851852)],[np.float64(0.2833333333333333)],[1],[0],[0],[2.2073864999692887],[None],2,0,2,0,5.331071,,10,5.3220816,5.331071,5.331071,0.0217911,7.5295142,[np.float64(0.14351851851851852)],[np.float64(0.2833333333333333)],[1],[0],[0],[2.2073864999692887],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
3,0,3,[np.float64(-0.4546296296296296)],[np.float64(-0.4666666666666667)],[1],[0],[0],[1.6579462999943644],[None],3,0,3,0,7.545491,,5,7.5381688,7.545491,7.545491,0.0085595,9.1961911,[np.float64(-0.4546296296296296)],[np.float64(-0.4666666666666667)],[1],[0],[0],[1.6579462999943644],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
4,0,4,[np.float64(-0.42314814814814816)],[np.float64(-0.10740740740740741)],[1],[0],[0],[2.4305946999811567],[None],4,0,4,0,9.2251228,,10,9.2167596,9.2251228,9.2251228,0.0204529,11.6474645,[np.float64(-0.42314814814814816)],[np.float64(-0.10740740740740741)],[1],[0],[0],[2.4305946999811567],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
5,0,5,[np.float64(0.03518518518518519)],[np.float64(0.3888888888888889)],[1],[0],[0],[1.9514612999628298],['target'],5,0,5,0,11.6829812,,10,11.6755725,11.6829812,11.6829812,0.027835,13.6271929,[np.float64(0.03518518518518519)],[np.float64(0.3888888888888889)],[1],[0],[0],[1.9514612999628298],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
6,0,6,[np.float64(-0.43796296296296294)],[np.float64(0.4824074074074074)],[1],[0],[0],[3.2921572999912314],['target'],6,0,6,0,13.6567309,,5,13.6478978,13.6567309,13.6567309,0.0203707,16.9401976,[np.float64(-0.43796296296296294)],[np.float64(0.4824074074074074)],[1],[0],[0],[3.2921572999912314],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
7,0,7,[np.float64(0.046296296296296294)],[np.float64(-0.062037037037037036)],[1],[0],[0],[5.451942100015003],[None],7,0,7,0,16.9739715,,10,16.9662669,16.9739715,16.9739715,0.025796,22.4183257,[np.float64(0.046296296296296294)],[np.float64(-0.062037037037037036)],[1],[0],[0],[5.451942100015003],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
8,0,8,[np.float64(-0.3888888888888889)],[np.float64(0.10740740740740741)],[1],[0],[0],[2.1095825999509543],[None],8,0,8,0,22.465004,,10,22.4562223,22.465004,22.465004,0.0376391,24.565897,[np.float64(-0.3888888888888889)],[np.float64(0.10740740740740741)],[1],[0],[0],[2.1095825999509543],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
9,0,9,[np.float64(-0.11944444444444445)],[np.float64(0.25925925925925924)],[1],[0],[0],[1.3695829000207596],[None],9,0,9,0,24.5837768,,5,24.5782578,24.5837768,24.5837768,0.0121398,25.9479219,[np.float64(-0.11944444444444445)],[np.float64(0.25925925925925924)],[1],[0],[0],[1.3695829000207596],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
10,0,10,[np.float64(0.45740740740740743)],[np.float64(0.3425925925925926)],[1],[0],[0],[4.579581799975131],[None],10,0,10,0,25.9854235,,10,25.9675991,25.9854235,25.9854235,0.0195289,30.547308,[np.float64(0.45740740740740743)],[np.float64(0.3425925925925926)],[1],[0],[0],[4.579581799975131],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
11,0,11,[np.float64(0.225)],[np.float64(0.3111111111111111)],[1],[0],[0],[1.3582073000143282],[None],11,0,11,0,30.5857292,,10,30.5683498,30.5857292,30.5857292,0.0207997,31.9267005,[np.float64(0.225)],[np.float64(0.3111111111111111)],[1],[0],[0],[1.3582073000143282],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
12,0,12,[np.float64(-0.4083333333333333)],[np.float64(0.15833333333333333)],[1],[0],[0],[2.752155700000003],['target'],12,0,12,0,31.9488714,,5,31.9405194,31.9488714,31.9488714,0.0137144,34.6928684,[np.float64(-0.4083333333333333)],[np.float64(0.15833333333333333)],[1],[0],[0],[2.752155700000003],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
13,0,13,[np.float64(0.3490740740740741)],[np.float64(-0.24722222222222223)],[1],[0],[0],[2.2636572999763303],[None],13,0,13,0,34.7162878,,5,34.7095867,34.7162878,34.7162878,0.0163501,36.9733503,[np.float64(0.3490740740740741)],[np.float64(-0.24722222222222223)],[1],[0],[0],[2.2636572999763303],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
14,0,14,[np.float64(0.375)],[np.float64(0.4722222222222222)],[1],[0],[0],[4.179565800004639],['target'],14,0,14,0,37.0234453,,10,37.010347,37.0234453,37.0234453,0.0368192,41.1900366,[np.float64(0.375)],[np.float64(0.4722222222222222)],[1],[0],[0],[4.179565800004639],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
15,0,15,[np.float64(0.4064814814814815)],[np.float64(-0.018518518518518517)],[1],[0],[0],[1.7812307000276633],['target'],15,0,15,0,41.2144805,,5,41.2069548,41.2144805,41.2144805,0.0165633,42.988345,[np.float64(0.4064814814814815)],[np.float64(-0.018518518518518517)],[1],[0],[0],[1.7812307000276633],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
16,0,16,[np.float64(0.09444444444444444)],[np.float64(-0.025)],[1],[0],[0],[2.7620028000092134],['target'],16,0,16,0,43.0153278,,5,43.0038641,43.0153278,43.0153278,0.0151779,45.7659406,[np.float64(0.09444444444444444)],[np.float64(-0.025)],[1],[0],[0],[2.7620028000092134],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
17,0,17,[np.float64(0.12037037037037036)],[np.float64(-0.3101851851851852)],[1],[0],[0],[2.2735026000300422],['target'],17,0,17,0,45.8063823,,10,45.7904115,45.8063823,45.8063823,0.0243195,48.0639936,[np.float64(0.12037037037037036)],[np.float64(-0.3101851851851852)],[1],[0],[0],[2.2735026000300422],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
18,0,18,[np.float64(0.13240740740740742)],[np.float64(-0.4564814814814815)],[1],[0],[0],[2.3593097000266425],['target'],18,0,18,0,48.1021917,,10,48.0902136,48.1021917,48.1021917,0.0260436,50.4496553,[np.float64(0.13240740740740742)],[np.float64(-0.4564814814814815)],[1],[0],[0],[2.3593097000266425],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
19,0,19,[np.float64(-0.28425925925925927)],[np.float64(0.36203703703703705)],[1],[0],[0],[1.3717540000216104],['target'],19,0,19,0,50.487419,,10,50.4732158,50.487419,50.487419,0.0232813,51.8450996,[np.float64(-0.28425925925925927)],[np.float64(0.36203703703703705)],[1],[0],[0],[1.3717540000216104],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
20,0,20,[np.float64(0.19074074074074074)],[np.float64(0.05925925925925926)],[1],[0],[0],[1.6144400999764912],[None],20,0,20,0,51.8697306,,5,51.8620712,51.8697306,51.8697306,0.0167978,53.4766044,[np.float64(0.19074074074074074)],[np.float64(0.05925925925925926)],[1],[0],[0],[1.6144400999764912],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
21,0,21,[np.float64(-0.4064814814814815)],[np.float64(0.275)],[1],[0],[0],[2.8210112000233494],[None],21,0,21,0,53.4998422,,5,53.489021,53.4998422,53.4998422,0.0122424,56.3101401,[np.float64(-0.4064814814814815)],[np.float64(0.275)],[1],[0],[0],[2.8210112000233494],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
22,0,22,[np.float64(0.2675925925925926)],[np.float64(-0.09351851851851851)],[1],[0],[0],[1.9177596000372432],['target'],22,0,22,0,56.3304404,,5,56.3215487,56.3304404,56.3304404,0.0112512,58.2394261,[np.float64(0.2675925925925926)],[np.float64(-0.09351851851851851)],[1],[0],[0],[1.9177596000372432],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
23,0,23,[np.float64(-0.0962962962962963)],[np.float64(0.3101851851851852)],[1],[0],[0],[1.3413037999998778],['target'],23,0,23,0,58.2744845,,10,58.2621149,58.2744845,58.2744845,0.0224895,59.6034779,[np.float64(-0.0962962962962963)],[np.float64(0.3101851851851852)],[1],[0],[0],[1.3413037999998778],['target'],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
24,0,24,[np.float64(0.4083333333333333)],[np.float64(0.33240740740740743)],[1],[0],[0],[1.3763744999887422],[None],24,0,24,0,59.6246026,,5,59.6145124,59.6246026,59.6246026,0.0108971,60.9910095,[np.float64(0.4083333333333333)],[np.float64(0.33240740740740743)],[1],[0],[0],[1.3763744999887422],[None],DHM,1,2025-09-30_18h39.23.556,Visual search experiment,,2025.1.1,59.90255053,2025-09-30 18h39.31.980959 +0530
