gaze_image,posx,posy,validity,target_image,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions.stopped,trial.started,neut.started,trial.stopped,resp.started,G.started,targ.started,mouse.started,G.stopped,resp.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,neut.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.004480600007809699,20.190681899985066,,,,,,,,,,,,,,,,,,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,0,0,0,[np.float64(-0.009259259259259259)],[np.float64(-0.05092592592592592)],[1],[0],[0],[1.2976754999835975],[None],0,0,0,2,20.213956299994607,,,,20.206801299995277,20.213956299994607,20.604987099999562,20.642143300006865,20.658920499990927,21.605188899993664,1.0147483000182547,21.670996200002264,22.906598000001395,[np.float64(-0.009259259259259259)],[np.float64(-0.05092592592592592)],[1],[0],[0],[1.2976754999835975],[None],,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,1,1,0,[np.float64(0.262037037037037)],[np.float64(0.07777777777777778)],[1],[0],[0],[0.8813104000000749],['targ'],0,1,1,6,22.919575200008694,,,,22.906906399992295,22.919575200008694,23.30319979999331,23.325736400001915,23.33036419999553,24.318919599987566,1.0123185999982525,24.335252499993658,25.204299500008347,[np.float64(0.262037037037037)],[np.float64(0.07777777777777778)],[1],[0],[0],[0.8813104000000749],['targ'],23.33036419999553,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,-0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,2,2,0,[np.float64(-0.12777777777777777)],[np.float64(-0.014814814814814815)],[1],[0],[0],[0.780680099996971],[None],0,2,2,3,25.217455500009237,,,,25.204918200004613,25.217455500009237,25.60131420000107,25.613097299996298,25.622259199997643,26.616858599998523,1.012412599986419,26.63330909999786,27.402735400013626,[np.float64(-0.12777777777777777)],[np.float64(-0.014814814814814815)],[1],[0],[0],[0.780680099996971],[None],25.622259199997643,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,3,3,0,[np.float64(0.44722222222222224)],[np.float64(-0.09814814814814815)],[1],[0],[0],[2.117503099987516],['targ'],0,3,3,4,27.415756300004432,,,,27.403266600013012,27.415756300004432,27.799199800007045,27.808409599994775,27.815887200005818,28.81490080000367,1.0121696999995038,28.81490080000367,30.932881999993697,[np.float64(0.44722222222222224)],[np.float64(-0.09814814814814815)],[1],[0],[0],[2.117503099987516],['targ'],27.815887200005818,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,-0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,4,4,0,[np.float64(-0.42777777777777776)],[np.float64(-0.10092592592592593)],[1],[0],[0],[0.3174046000058297],['targ'],0,4,4,1,30.94631759999902,,,,30.93341510000755,30.94631759999902,31.329795400000876,31.341035199991893,31.346683400013717,32.34551909999573,1.0125900999992155,32.36194659999455,32.66533150000032,[np.float64(-0.42777777777777776)],[np.float64(-0.10092592592592593)],[1],[0],[0],[0.3174046000058297],['targ'],31.346683400013717,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,-0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,5,5,0,[np.float64(-0.6611111111111111)],[np.float64(-0.058333333333333334)],[1],[0],[0],[1.0634208999981638],['targ'],0,5,5,7,32.6781948999851,,,,32.665807799989125,32.6781948999851,33.061627299990505,33.07391470001312,33.08010500000091,34.0782390999957,1.0128877999959514,34.09445939998841,35.14566760000889,[np.float64(-0.6611111111111111)],[np.float64(-0.058333333333333334)],[1],[0],[0],[1.0634208999981638],['targ'],33.08010500000091,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,-0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,6,6,0,[np.float64(-0.41574074074074074)],[np.float64(-0.017592592592592594)],[1],[0],[0],[0.5138586000248324],['targ'],0,6,6,5,35.15939290000824,,,,35.14595679999911,35.15939290000824,35.54277460000594,35.553857099992456,35.55980250000721,36.55966940001235,1.0141092999838293,36.57560650000232,37.076966799999354,[np.float64(-0.41574074074074074)],[np.float64(-0.017592592592592594)],[1],[0],[0],[0.5138586000248324],['targ'],35.55980250000721,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,7,7,0,[np.float64(0.6370370370370371)],[np.float64(0.12129629629629629)],[1],[0],[0],[0.4463625999924261],['targ'],0,7,7,0,37.09139960000175,,,,37.077519000013126,37.09139960000175,37.47450569999637,37.489104200009024,37.49612550000893,38.49076159999822,1.0137349000142422,38.507004399987636,38.94171529999585,[np.float64(0.6370370370370371)],[np.float64(0.12129629629629629)],[1],[0],[0],[0.4463625999924261],['targ'],37.49612550000893,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,-0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,8,0,1,[np.float64(-0.275)],[np.float64(-0.028703703703703703)],[1],[0],[0],[0.34946040000068024],['targ'],1,0,8,3,38.956376399990404,,,,38.94206989998929,38.956376399990404,39.339976099989144,39.359278399992036,39.36709270000574,40.35715110000456,1.0154353000107221,40.372245200007455,40.710140200011665,[np.float64(-0.275)],[np.float64(-0.028703703703703703)],[1],[0],[0],[0.34946040000068024],['targ'],39.36709270000574,DHR,,2025-11-20_14h41.48.580,solo-project,,2025.1.1,60.08261358974097,2025-11-20 14h41.58.332817 +0530,
