pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration
-50,x,0,0,0,x,1,18.4101875,None,0,0,0,0,,,,,0.0218912,,0.0163058,0.0218912,1.005685,1.005685,1.005685,1.005685,1.0222912,2.004828,2.004828,20.431721,x,1,18.4101875,None,,,,
150,v,1,1,0,v,1,1.4876678,None,0,1,1,1,,,,,20.4397282,,20.4321504,20.4397282,21.4387524,21.4387524,21.4387524,21.4387524,21.4387524,22.437988,22.437988,23.9374247,v,1,1.4876678,None,,,,
50,c,2,2,0,c,1,1.3409702,None,0,2,2,2,,,,,23.9534007,,23.937919,23.9534007,24.952882,24.952882,24.952882,24.952882,24.952882,25.9518622,25.9518622,27.3017451,c,1,1.3409702,None,,,,
-150,z,3,3,0,z,1,0.918179,None,0,3,3,3,,,,,27.317375,,27.3022304,27.317375,28.3168762,28.3168762,28.3168762,28.3168762,28.3168762,29.3156493,29.3156493,30.2488639,z,1,0.918179,None,,,,
-50,x,4,0,1,x,1,0.9588446,None,1,0,4,0,,,,,30.2649871,,30.2493217,30.2649871,31.2640187,31.2640187,31.2640187,31.2640187,31.2640187,32.2630705,32.2630705,33.2298467,x,1,0.9588446,None,,,,
150,v,5,1,1,v,1,0.9923873,None,1,1,5,1,,,,,33.2459469,,33.2303559,33.2459469,34.2451111,34.2451111,34.2451111,34.2451111,34.2451111,35.244223,35.244223,36.2440155,v,1,0.9923873,None,,,,
50,c,6,2,1,c,1,0.9294394,None,1,2,6,2,,,,,36.259879,,36.2444941,36.259879,37.2592564,37.2592564,37.2592564,37.2592564,37.2592564,38.2582314,38.2582314,39.1919239,c,1,0.9294394,None,,,,
-150,z,7,3,1,z,1,0.8505838,None,1,3,7,3,,,,,39.2075434,,39.1923458,39.2075434,40.2070496,40.2070496,40.2070496,40.2070496,40.2070496,41.2060388,41.2060388,42.0727343,z,1,0.8505838,None,,,,
-50,x,8,0,2,x,1,1.0426532,None,2,0,8,0,,,,,42.0887224,,42.0731383,42.0887224,43.087677,43.087677,43.087677,43.087677,43.087677,44.0868336,44.0868336,45.1367576,x,1,1.0426532,None,,,,
150,v,9,1,2,v,1,1.0789717,None,2,1,9,1,,,,,45.1526102,,45.1372506,45.1526102,46.1521307,46.1521307,46.1521307,46.1521307,46.1521307,47.1507757,47.1507757,48.2342956,v,1,1.0789717,None,,,,
50,c,10,2,2,c,1,1.0620521,None,2,2,10,2,,,,,48.2503164,,48.2345964,48.2503164,49.2491264,49.2491264,49.2491264,49.2491264,49.2658427,50.2485423,50.2485423,51.3149573,c,1,1.0620521,None,,,,
-150,z,11,3,2,z,1,0.8680952,None,2,3,11,3,,,,,51.3313506,,51.3153912,51.3313506,52.3303647,52.3303647,52.3303647,52.3303647,52.3303647,53.3296413,53.3296413,54.2124055,z,1,0.8680952,None,,,,
-50,x,12,0,3,x,1,0.8705685,None,3,0,12,0,,,,,54.2285766,,54.2127903,54.2285766,55.2277584,55.2277584,55.2277584,55.2277584,55.2277584,56.2269731,56.2269731,57.1102485,x,1,0.8705685,None,,,,
150,v,13,1,3,v,1,1.0497244,None,3,1,13,1,,,,,57.1264367,,57.1106209,57.1264367,58.1253676,58.1253676,58.1253676,58.1253676,58.1253676,59.1245984,59.1245984,60.1906869,v,1,1.0497244,None,,,,
50,c,14,2,3,c,1,0.9111688,None,3,2,14,2,,,,,60.2069317,,60.1910832,60.2069317,61.2063198,61.2063198,61.2063198,61.2063198,61.2063198,62.2052068,62.2052068,63.1219288,c,1,0.9111688,None,,,,
-150,z,15,3,3,z,1,0.7997388,None,3,3,15,3,,,,,63.1379738,,63.1222694,63.1379738,64.1368193,64.1368193,64.1368193,64.1368193,64.1368193,65.1361285,65.1361285,65.9531849,z,1,0.7997388,None,,,,
-50,x,16,0,4,x,1,0.7998522,None,4,0,16,0,,,,,65.9689443,,65.9538576,65.9689443,66.9680158,66.9680158,66.9680158,66.9680158,66.9680158,67.9672303,67.9672303,68.783841,x,1,0.7998522,None,,,,
150,v,17,1,4,v,1,0.8672846,None,4,1,17,1,,,,,68.7999805,,68.7842281,68.7999805,69.799041,69.799041,69.799041,69.799041,69.8156609,70.7980297,70.7980297,71.6811004,v,1,0.8672846,None,,,,
50,c,18,2,4,c,1,1.1772112,None,4,2,18,2,,,,,71.697426,,71.6813859,71.697426,72.6968555,72.6968555,72.6968555,72.6968555,72.6968555,73.6958167,73.6958167,74.87864,c,1,1.1772112,None,,,,
-150,z,19,3,4,z,1,0.7891585,None,4,3,19,3,,,,,74.8951655,,74.87893,74.8951655,75.8941099,75.8941099,75.8941099,75.8941099,75.9108009,76.8934273,76.8934273,77.6934143,z,1,0.7891585,None,,,,
