pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,1.6762828,None,0,0,0,0,,,,,0.0212382,,0.0168958,0.0212382,1.0136372,1.0136372,1.0136372,1.0136372,1.030292,2.012784,2.012784,3.707158,x,1,1.6762828,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
150,v,1,1,0,v,1,2.0320821,None,0,1,1,1,,,,,3.7116633,,3.707453,3.7116633,4.7106534,4.7106534,4.7106534,4.7106534,4.7271745,5.7097433,5.7097433,7.7585198,v,1,2.0320821,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
50,c,2,2,0,c,1,1.2144359,None,0,2,2,2,,,,,7.7747241,,7.7589344,7.7747241,8.7740741,8.7740741,8.7740741,8.7740741,8.7740741,9.773382,9.773382,10.9894762,c,1,1.2144359,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
-150,z,3,3,0,z,1,0.9273924,None,0,3,3,3,,,,,11.0054755,,10.9899941,11.0054755,12.0046196,12.0046196,12.0046196,12.0046196,12.0046196,13.0040116,13.0040116,13.9369616,z,1,0.9273924,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
-50,x,4,0,1,x,1,1.088062,None,1,0,4,0,,,,,13.9532002,,13.9374378,13.9532002,14.9525747,14.9525747,14.9525747,14.9525747,14.9525747,15.9512444,15.9512444,17.0516853,x,1,1.088062,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
150,v,5,1,1,v,1,1.2854429,None,1,1,5,1,,,,,17.0674533,,17.0522638,17.0674533,18.0665794,18.0665794,18.0665794,18.0665794,18.0665794,19.0656633,19.0656633,20.3652598,v,1,1.2854429,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
50,c,6,2,1,v,0,1.7406361,None,1,2,6,2,,,,,20.3812382,,20.3656739,20.3812382,21.3804855,21.3804855,21.3804855,21.3804855,21.3804855,22.379637,22.379637,24.1287563,v,0,1.7406361,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
-150,z,7,3,1,z,1,0.9835658,None,1,3,7,3,,,,,24.1447693,,24.129184,24.1447693,25.1438969,25.1438969,25.1438969,25.1438969,25.1438969,26.1432864,26.1432864,27.1428113,z,1,0.9835658,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
-50,x,8,0,2,x,1,0.9858495,None,2,0,8,0,,,,,27.1591132,,27.1432722,27.1591132,28.1580229,28.1580229,28.1580229,28.1580229,28.1580229,29.1573635,29.1573635,30.1572607,x,1,0.9858495,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
150,v,9,1,2,v,1,1.6866661,None,2,1,9,1,,,,,30.1731378,,30.1578527,30.1731378,31.1724588,31.1724588,31.1724588,31.1724588,31.1724588,32.1714895,32.1714895,33.8706383,v,1,1.6866661,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
50,c,10,2,2,c,1,2.4878165,None,2,2,10,2,,,,,33.8869079,,33.8711529,33.8869079,34.8858977,34.8858977,34.8858977,34.8858977,34.8858977,35.8852226,35.8852226,38.3838654,c,1,2.4878165,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
-150,z,11,3,2,z,1,0.9082151,None,2,3,11,3,,,,,38.3997428,,38.384485,38.3997428,39.39883,39.39883,39.39883,39.39883,39.39883,40.3981271,40.3981271,41.3147623,z,1,0.9082151,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
-50,x,12,0,3,x,1,0.935139,None,3,0,12,0,,,,,41.3307867,,41.3152096,41.3307867,42.3298004,42.3298004,42.3298004,42.3298004,42.3298004,43.3290313,43.3290313,44.279075,x,1,0.935139,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
150,v,13,1,3,v,1,2.0771684,None,3,1,13,1,,,,,44.2949545,,44.2795889,44.2949545,45.2941151,45.2941151,45.2941151,45.2941151,45.2941151,46.2932848,46.2932848,48.3754401,v,1,2.0771684,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
50,c,14,2,3,v,0,1.0684394,None,3,2,14,2,,,,,48.3914895,,48.3758777,48.3914895,49.3907381,49.3907381,49.3907381,49.3907381,49.3907381,50.3898749,50.3898749,51.472937,v,0,1.0684394,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
-150,z,15,3,3,z,1,0.8601742,None,3,3,15,3,,,,,51.4891707,,51.4734218,51.4891707,52.4882712,52.4882712,52.4882712,52.4882712,52.4882712,53.4873519,53.4873519,54.3537,z,1,0.8601742,None,,,,,JOM,1,2025-10-03_22h00.35.189,Motor Sequence Learning,,2025.1.1,60.03817227,2025-10-03 22h01.08.492197 +0530
