reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
18,99,74,0,0,0,l,11.532167099999981,None,0,0,0,52,0.21942169999999805,,0.2158603000000312,0.21942169999999805,1.008888000000013,1.008888000000013,1.2255185999999867,12.578388300000029,l,11.532167099999981,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
50,68,34,1,1,0,t,2.6849179000000163,None,0,1,1,69,12.591944399999988,,12.58901000000003,12.591944399999988,13.582011000000023,13.582011000000023,13.598533900000007,16.28039940000002,t,2.6849179000000163,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
1,62,47,2,2,0,l,2.6918439000000376,None,0,2,2,33,16.296404300000006,,16.286772100000007,16.296404300000006,17.295984299999986,17.295984299999986,17.295984299999986,19.994068800000036,l,2.6918439000000376,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
38,99,100,3,3,0,l,3.316199499999982,None,0,3,3,11,20.009956799999998,,20.001922500000035,20.009956799999998,21.00920719999999,21.00920719999999,21.00920719999999,24.34050350000001,l,3.316199499999982,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
30,67,64,4,4,0,l,2.8021315999999956,None,0,4,4,60,24.356579399999987,,24.3452987,24.356579399999987,25.355499699999996,25.355499699999996,25.372342400000036,28.171120599999995,l,2.8021315999999956,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
37,56,135,5,5,0,l,1.1507881999999654,None,0,5,5,50,28.18664210000003,,28.179327699999988,28.18664210000003,29.18595959999999,29.18595959999999,29.18595959999999,30.352092900000002,l,1.1507881999999654,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
39,82,120,6,6,0,t,0.5935733000000027,None,0,6,6,45,30.36829080000001,,30.3566376,30.36829080000001,31.353569700000037,31.353569700000037,31.370574799999986,31.954655100000025,t,0.5935733000000027,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
13,63,59,7,7,0,l,0.8346945000000119,None,0,7,7,2,31.9704251,,31.959592299999997,31.9704251,32.9694844,32.9694844,32.9694844,33.81995599999999,l,0.8346945000000119,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
33,51,73,8,8,0,l,1.03089319999998,None,0,8,8,83,33.83563670000001,,33.825619700000004,33.83563670000001,34.83494110000004,34.83494110000004,34.85081819999999,35.86885910000001,l,1.03089319999998,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
42,52,101,9,9,0,t,0.5105187999999998,None,0,9,9,70,35.885042,,35.875407800000005,35.885042,36.88291659999999,36.88291659999999,36.899444800000026,37.39975450000003,t,0.5105187999999998,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
49,88,67,10,10,0,t,0.5865349000000037,None,0,10,10,36,37.41597949999999,,37.403668900000014,37.41597949999999,38.416061600000035,38.416061600000035,38.416061600000035,39.01553799999999,t,0.5865349000000037,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
4,92,98,11,11,0,l,0.7482747000000245,None,0,11,11,5,39.03095780000001,,39.02167990000004,39.03095780000001,40.03071170000004,40.03071170000004,40.03071170000004,40.78123440000002,l,0.7482747000000245,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
13,62,88,12,12,0,l,0.9506568999999558,None,0,12,12,39,40.79646109999999,,40.78728219999999,40.79646109999999,41.79566540000002,41.79566540000002,41.81213580000002,42.763152200000036,l,0.9506568999999558,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
15,100,121,13,13,0,l,0.7520046999999863,None,0,13,13,63,42.77902720000003,,42.77373260000002,42.77902720000003,43.777804600000024,43.777804600000024,43.793175899999994,44.54454820000001,l,0.7520046999999863,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
48,74,94,14,14,0,t,0.7341734000000315,None,0,14,14,76,44.56005550000003,,44.5516078,44.56005550000003,45.55948440000003,45.55948440000003,45.55948440000003,46.310256100000004,t,0.7341734000000315,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
9,70,96,15,15,0,l,0.8965707999999495,None,0,15,15,90,46.32718600000004,,46.3155357,46.32718600000004,47.32381520000001,47.32381520000001,47.34100219999999,48.22556020000002,l,0.8965707999999495,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
34,88,112,16,16,0,l,1.0887311000000182,None,0,16,16,46,48.24258100000003,,48.23343700000004,48.24258100000003,49.2410481,49.2410481,49.256396600000016,50.339612999999986,l,1.0887311000000182,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
6,74,147,17,17,0,l,0.7733516000000122,None,0,17,17,62,50.35554280000002,,50.34444189999999,50.35554280000002,51.35458440000002,51.35458440000002,51.37086470000003,52.1376171,l,0.7733516000000122,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
22,70,48,18,18,0,t,0.48262170000003835,None,0,18,18,15,52.15376520000001,,52.1434309,52.15376520000001,53.1539578,53.1539578,53.1539578,53.65386540000003,t,0.48262170000003835,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
22,88,100,19,19,0,t,0.3170969000000241,None,0,19,19,55,53.668919500000015,,53.658109800000034,53.668919500000015,54.6683539,54.6683539,54.6683539,55.00211920000004,t,0.3170969000000241,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
7,67,115,20,20,0,t,0.2606609999999705,None,0,20,20,16,55.01789510000003,,55.006240200000036,55.01789510000003,56.0008507,56.0008507,56.01782639999999,56.2678181,t,0.2606609999999705,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
25,61,58,21,21,0,t,0.7510434999999802,None,0,21,21,56,56.2836221,,56.27239380000003,56.2836221,57.28287510000001,57.28287510000001,57.2997742,58.04949090000002,t,0.7510434999999802,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
25,92,142,22,22,0,l,0.733985099999984,None,0,22,22,94,58.0658722,,58.05571630000003,58.0658722,59.04894250000001,59.04894250000001,59.06572170000004,59.798535000000015,l,0.733985099999984,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
25,97,148,23,23,0,l,1.160950899999989,None,0,23,23,25,59.81506310000003,,59.80216100000001,59.81506310000003,60.813102000000015,60.813102000000015,60.830310199999985,61.979902400000014,l,1.160950899999989,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
8,99,34,24,24,0,l,0.6236199999999599,None,0,24,24,77,61.99530370000002,,61.98568850000004,61.99530370000002,62.995270600000026,62.995270600000026,62.995270600000026,63.62801669999999,l,0.6236199999999599,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
42,94,108,25,25,0,l,1.3954718999999614,None,0,25,25,92,63.64398060000002,,63.633126900000036,63.64398060000002,64.64411330000001,64.64411330000001,64.64411330000001,66.04383860000002,l,1.3954718999999614,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
22,77,97,26,26,0,t,0.7345851999999695,None,0,26,26,96,66.05976530000004,,66.05083830000001,66.05976530000004,67.0587271,67.0587271,67.0587271,67.80892520000003,t,0.7345851999999695,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
25,72,41,27,27,0,l,1.167612599999984,None,0,27,27,26,67.82483840000003,,67.8153044,67.82483840000003,68.8236736,68.8236736,68.84059830000001,70.00663070000002,l,1.167612599999984,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
42,68,123,28,28,0,t,0.7884543999999778,None,0,28,28,75,70.02282980000001,,70.01264730000003,70.02282980000001,71.02209620000002,71.02209620000002,71.02209620000002,71.82168560000002,t,0.7884543999999778,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
13,74,110,29,29,0,t,0.3902190999999675,None,0,29,29,78,71.83734709999999,,71.82622900000001,71.83734709999999,72.83697460000002,72.83697460000002,72.83697460000002,73.23796909999999,t,0.3902190999999675,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
6,82,99,30,30,0,l,0.676351000000011,None,0,30,30,14,73.2539486,,73.24387580000001,73.2539486,74.2527025,74.2527025,74.2527025,74.93586429999999,l,0.676351000000011,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
44,94,90,31,31,0,l,0.6272794000000204,None,0,31,31,95,74.95171859999999,,74.94044300000002,74.95171859999999,75.95142780000003,75.95142780000003,75.95142780000003,76.58454560000001,l,0.6272794000000204,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
3,76,37,32,32,0,l,0.6339815999999701,None,0,32,32,17,76.60068190000004,,76.59089800000004,76.60068190000004,77.59955510000003,77.59955510000003,77.6170965,78.24927990000003,l,0.6339815999999701,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
49,94,57,33,33,0,t,0.45030610000003435,None,0,33,33,97,78.2661182,,78.2543652,78.2661182,79.26526280000002,79.26526280000002,79.2821338,79.7318009,t,0.45030610000003435,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
35,52,122,34,34,0,t,0.35566849999997885,None,0,34,34,67,79.74769140000001,,79.73555149999999,79.74769140000001,80.74681040000002,80.74681040000002,80.74681040000002,81.1140537,t,0.35566849999997885,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
9,68,69,35,35,0,l,0.6000378999999612,None,0,35,35,98,81.13015250000001,,81.1189263,81.13015250000001,82.12978730000003,82.12978730000003,82.12978730000003,82.74583360000003,l,0.6000378999999612,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
44,90,115,36,36,0,t,0.4224542000000042,None,0,36,36,42,82.76240330000002,,82.7490257,82.76240330000002,83.7610421,83.7610421,83.77869430000004,84.19422930000002,t,0.4224542000000042,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
2,64,61,37,37,0,l,0.9364506999999662,None,0,37,37,35,84.21144100000004,,84.1989911,84.21144100000004,85.2098962,85.2098962,85.2264391,86.1596346,l,0.9364506999999662,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
36,68,74,38,38,0,t,0.5143362999999681,None,0,38,38,65,86.17590410000003,,86.16540270000002,86.17590410000003,87.15832490000003,87.15832490000003,87.1751463,87.6760066,t,0.5143362999999681,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
19,57,135,39,39,0,t,0.6242464999999697,None,0,39,39,57,87.69140550000003,,87.6832867,87.69140550000003,88.69082400000002,88.69082400000002,88.69082400000002,89.32290660000001,t,0.6242464999999697,None,MET,001,2025-11-05_15h05.10.714,delay discounting,,2025.1.1,60.05382023369,2025-11-05 15h05.19.188536 +0530,
