delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,400,unexp,0,0,0,space,15.37445960000332,None,1,1,[12.537684399998398],[12.53770539999823],0,0,0,0,0.020755899997311644,,0.01785760000348091,0.020755899997311644,1.0037689000018872,1.0037689000018872,1.0205256000044756,16.42084170000453,space,15.37445960000332,None,16.421732200004044,16.52446546666421,16.84778589999769,16.82335520000197,16.824655799995526,16.84778589999769,16.84778589999769,16.84778589999769,29.386069200001657,1,1,[12.537684399998398],[12.53770539999823],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,400,unexp,1,1,0,space,0.513251800002763,None,0.50,1,[16.973342999990564],[16.973360199990566],0,1,1,1,29.397015399998054,,29.386464800001704,29.397015399998054,30.396225999997114,30.396225999997114,30.412733000004664,30.913219299996854,space,0.513251800002763,None,30.914491899995483,31.31237316666035,31.62804640000104,31.6121337999939,31.612884899994242,31.62804640000104,31.62804640000104,31.62804640000104,48.60191399999894,0.50,1,[16.973342999990564],[16.973360199990566],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,400,unexp,2,2,0,space,1.5781654999882448,None,7,1,[8.601540699994075],[8.601550799998222],0,2,2,2,48.614644899993436,,48.60228910000296,48.614644899993436,49.6138837000035,49.6138837000035,49.6138837000035,51.196254399998,space,1.5781654999882448,None,51.197309099996346,51.91160276666439,52.221338000003016,52.209812700006296,52.210324700005,52.221338000003016,52.221338000003016,52.221338000003016,60.82333529999596,7,1,[8.601540699994075],[8.601550799998222],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,3,3,0,space,1.4950609000079567,None,1,1,[11.851223100005882],[11.851236599992262],0,3,3,3,60.837753100000555,,60.82358510000631,60.837753100000555,61.83698279999953,61.83698279999953,61.83698279999953,63.33652019999863,space,1.4950609000079567,None,63.337228399992455,63.452049566669544,63.758314099992276,63.7490087000042,63.74953729999834,63.758314099992276,63.758314099992276,63.758314099992276,75.60983349999879,1,1,[11.851223100005882],[11.851236599992262],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,4,4,0,space,1.3826404999999795,None,2,1,[3.986428700009128],[3.9864403000101447],0,4,4,4,75.62566419999348,,75.61009529999865,75.62566419999348,76.62495379999746,76.62495379999746,76.62495379999746,78.02445529999386,space,1.3826404999999795,None,78.02555900000152,78.42364386665965,78.7341035999998,78.72128569999768,78.72307179999189,78.7341035999998,78.7341035999998,78.7341035999998,82.72089009999763,2,1,[3.986428700009128],[3.9864403000101447],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,5,5,0,space,0.6186619999934919,None,4,1,[1.524763499997789],[1.5247834000037983],0,5,5,5,82.73645599999873,,82.72123729999294,82.73645599999873,83.73549629999616,83.73549629999616,83.73549629999616,84.36893749999581,space,0.6186619999934919,None,84.36950640000578,85.08419756665923,85.39479530000244,85.37965020000411,85.38025170000037,85.39479530000244,85.39479530000244,85.39479530000244,86.92020639999828,4,1,[1.524763499997789],[1.5247834000037983],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,6,6,0,space,0.9059445999882882,None,2,1,[1.9722880000044825],[1.9723002999962773],0,6,6,6,86.9329277999932,,86.92069400000037,86.9329277999932,87.93208569999842,87.93208569999842,87.93208569999842,88.8491309999954,space,0.9059445999882882,None,88.85021140000026,88.96488206666642,89.27594189999218,89.26201449999644,89.26366979999875,89.27594189999218,89.27594189999218,89.27594189999218,91.24866050000128,2,1,[1.9722880000044825],[1.9723002999962773],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,7,7,0,space,0.6299777000094764,None,5,1,[4.147677600005409],[4.147688600001857],0,7,7,7,91.26273639999272,,91.24897410000267,91.26273639999272,92.26178830000572,92.26178830000572,92.2782828000054,92.89486820000457,space,0.6299777000094764,None,92.89547940000193,93.29458836667278,93.59511959999509,93.58828349999385,93.58861679999973,93.59511959999509,93.59511959999509,93.59511959999509,97.7431002999947,5,1,[4.147677600005409],[4.147688600001857],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,8,8,0,space,0.7739066999929491,None,3,1,[3.7877175999892643],[3.787739999999758],0,8,8,8,97.7569996999955,,97.74334329999692,97.7569996999955,98.75655219999317,98.75655219999317,98.75655219999317,99.53971349999483,space,0.7739066999929491,None,99.54050659999484,100.23887086665879,100.5503888999956,100.54115400000592,100.54158419999294,100.5503888999956,100.5503888999956,100.5503888999956,104.33870189999288,3,1,[3.7877175999892643],[3.787739999999758],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,9,9,0,space,0.786322800006019,None,4,1,[1.5740036000061082],[1.5740294999995967],0,9,9,9,104.3521774999972,,104.33926690000226,104.3521774999972,105.35129510000115,105.35129510000115,105.35129510000115,106.15103069999896,space,0.786322800006019,None,106.15196810000634,106.2504168666676,106.55946170000243,106.55121900000086,106.55222179999691,106.55946170000243,106.55946170000243,106.55946170000243,108.13395560000208,4,1,[1.5740036000061082],[1.5740294999995967],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,10,10,0,space,0.9359181999898283,None,,1,[0.39068939999560826],[0.390710499996203],0,10,10,10,108.14882679999573,,108.13446820000536,108.14882679999573,109.14808319999429,109.14808319999429,109.14808319999429,110.09805309999501,space,0.9359181999898283,None,110.09917040000437,110.51364836666131,110.8233223999996,110.81150110000453,110.81216790000326,110.8233223999996,110.8233223999996,110.8233223999996,111.21461009999621,,1,[0.39068939999560826],[0.390710499996203],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,11,11,0,space,2.623065799998585,None,4,1,[3.100594000003184],[3.1006148000014946],0,11,11,11,111.2297494999948,,111.21513820000109,111.2297494999948,112.22867519999272,112.22867519999272,112.24515810000594,114.86021060000348,space,2.623065799998585,None,114.86082499999611,115.55951386667245,115.87435719999485,115.85850109999592,115.86085949999688,115.87435719999485,115.87435719999485,115.87435719999485,118.97539130000223,4,1,[3.100594000003184],[3.1006148000014946],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,400,unexp,12,0,1,space,0.564408000005642,None,3,1,[2.554026199999498],[2.554036500005168],1,0,12,0,118.98979989999498,,118.97564429999329,118.98979989999498,119.98880950000603,119.98880950000603,119.98880950000603,120.5557620000036,space,0.564408000005642,None,120.55675390000397,120.65518656665905,120.96703780000098,120.95222690000082,120.95280800000182,120.96703780000098,120.96703780000098,120.96703780000098,123.52142879999883,3,1,[2.554026199999498],[2.554036500005168],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,400,unexp,13,1,1,space,0.6590025999903446,None,7,1,[6.181200999999419],[6.181211899995105],1,1,13,1,123.53592569999455,,123.52166060000309,123.53592569999455,124.53535409999313,124.53535409999313,124.53535409999313,125.20201589999488,space,0.6590025999903446,None,125.20346900000004,125.60119996667005,125.91528899999685,125.8997565000027,125.90201970000635,125.91528899999685,125.91528899999685,125.91528899999685,132.09677889999875,7,1,[6.181200999999419],[6.181211899995105],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,400,unexp,14,2,1,space,0.5775448999920627,None,5,1,[2.60423830000218],[2.604250400007004],1,2,14,2,132.112432599999,,132.09703469999658,132.112432599999,133.11174170000595,133.11174170000595,133.11174170000595,133.69490240000596,space,0.5775448999920627,None,133.69555499999842,134.39404206666612,134.7081365000049,134.68901669999468,134.69267380000383,134.7081365000049,134.7081365000049,134.7081365000049,137.31280600000173,5,1,[2.60423830000218],[2.604250400007004],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,15,3,1,space,0.26334599999245256,None,2,1,[2.557444799997029],[2.5574655999953393],1,3,15,3,137.32497829999193,,137.31309670000337,137.32497829999193,138.32412409999233,138.32412409999233,138.32412409999233,138.5913631000003,space,0.26334599999245256,None,138.5924282000051,138.70687126666988,139.01457289999234,139.00243720000435,139.003040399999,139.01457289999234,139.01457289999234,139.01457289999234,141.57241989999602,2,1,[2.557444799997029],[2.5574655999953393],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,16,4,1,space,0.3171760999975959,None,2,1,[1.0443880999955582],[1.0443998999980977],1,4,16,4,141.58796299999813,,141.57287289999658,141.58796299999813,142.58732409999357,142.58732409999357,142.58732409999357,142.920882099992,space,0.3171760999975959,None,142.92157340000267,143.3366705666597,143.64300709999225,143.62969570000132,143.63092090000282,143.64300709999225,143.64300709999225,143.64300709999225,144.68777099999716,2,1,[1.0443880999955582],[1.0443998999980977],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.7,1000,exp,17,5,1,space,0.2031122000043979,None,3,1,[0.9429494999931194],[0.9429620000009891],1,5,17,5,144.70200789999217,,144.68811049999204,144.70200789999217,145.70141730000614,145.70141730000614,145.70141730000614,145.9187024999992,space,0.2031122000043979,None,145.91986510000424,146.6335596666652,146.9418585999956,146.93005179999454,146.93067420000443,146.9418585999956,146.9418585999956,146.9418585999956,147.88519960000122,3,1,[0.9429494999931194],[0.9429620000009891],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.1,1000,exp,18,6,1,space,0.2284901999955764,None,3,1,[1.590243600003305],[1.5902517000067746],1,6,18,6,147.89921639999375,,147.88551059999736,147.89921639999375,148.89845799999603,148.89845799999603,148.89845799999603,149.13243460000376,space,0.2284901999955764,None,149.13389309999184,149.23171916667005,149.5403970000043,149.52913510000508,149.529666500006,149.5403970000043,149.5403970000043,149.5403970000043,151.13092670000333,3,1,[1.590243600003305],[1.5902517000067746],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
0.4,1000,exp,19,7,1,space,0.281104099994991,None,3,1,[0.8348975999979302],[0.834910999998101],1,7,19,7,151.14676360000158,,151.13114519999363,151.14676360000158,152.14596559999336,152.14596559999336,152.14596559999336,152.4292157000018,space,0.281104099994991,None,152.42982510000002,152.8285094666683,153.14328259999456,153.128747499999,153.12936890000128,153.14328259999456,153.14328259999456,153.14328259999456,153.97856059999322,3,1,[0.8348975999979302],[0.834910999998101],MMM,001,2025-11-13_20h43.13.729,intentional binding,,2025.1.1,60.062152313005356,2025-11-13 20h43.27.408791 +0530,
