pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,1.2631598,None,0,0,0,0,,,,,0.0269547,,0.0207849,0.0269547,1.0057397,1.0057397,1.0057397,1.0057397,1.0388147,2.0046981,2.0046981,3.3155211,x,1,1.2631598,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
150,v,1,1,0,v,1,1.4526318,None,0,1,1,1,,,,,3.3181265,,3.3157701,3.3181265,4.3195681,4.3195681,4.3195681,4.3195681,4.3195681,5.3188439,5.3188439,6.7848648,v,1,1.4526318,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
50,c,2,2,0,c,1,0.7007348,None,0,2,2,2,,,,,6.8014486,,6.7853511,6.8014486,7.8000573,7.8000573,7.8000573,7.8000573,7.8168811,8.7997337,8.7997337,9.5155526,c,1,0.7007348,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
-150,z,3,3,0,z,1,0.294223,None,0,3,3,3,,,,,9.5317835,,9.5157805,9.5317835,10.5146304,10.5146304,10.5146304,10.5146304,10.5310963,11.5302427,11.5302427,11.8307122,z,1,0.294223,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
-50,x,4,0,1,x,1,0.0118791,None,1,0,4,0,,,,,11.8467613,,11.8310807,11.8467613,12.845995,12.845995,12.845995,12.845995,12.8624399,13.8450239,13.8450239,13.8622785,x,1,0.0118791,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
150,v,5,1,1,v,1,0.4336382,None,1,1,5,1,,,,,13.8781447,,13.8626133,13.8781447,14.8775838,14.8775838,14.8775838,14.8775838,14.8775838,15.8768133,15.8768133,16.3268945,v,1,0.4336382,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
50,c,6,2,1,c,1,0.2594555,None,1,2,6,2,,,,,16.3429142,,16.3273164,16.3429142,17.3426149,17.3426149,17.3426149,17.3426149,17.3426149,18.3414329,18.3414329,18.6083238,c,1,0.2594555,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
-150,z,7,3,1,z,1,0.1903009,None,1,3,7,3,,,,,18.6244356,,18.6086781,18.6244356,19.6069868,19.6069868,19.6069868,19.6069868,19.6237051,20.6228,20.6228,20.8228858,z,1,0.1903009,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
-50,x,8,0,2,x,1,0.1976686,None,2,0,8,0,,,,,20.8398114,,20.8231535,20.8398114,21.8217661,21.8217661,21.8217661,21.8217661,21.8552124,22.8377366,22.8377366,23.037806,x,1,0.1976686,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
150,v,9,1,2,v,1,0.3700932,None,2,1,9,1,,,,,23.0542818,,23.0382783,23.0542818,24.0535093,24.0535093,24.0535093,24.0535093,24.0535093,25.0526083,25.0526083,25.4359814,v,1,0.3700932,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
50,c,10,2,2,c,1,0.4141949,None,2,2,10,2,,,,,25.4521753,,25.4362052,25.4521753,26.4515491,26.4515491,26.4515491,26.4515491,26.4515491,27.4507042,27.4507042,27.8675601,c,1,0.4141949,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
-150,z,11,3,2,z,1,0.2387327,None,2,3,11,3,,,,,27.8837527,,27.8680617,27.8837527,28.8829272,28.8829272,28.8829272,28.8829272,28.899391,29.8819505,29.8819505,30.1318851,z,1,0.2387327,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
-50,x,12,0,3,x,1,0.3848518,None,3,0,12,0,,,,,30.1484208,,30.1321093,30.1484208,31.1310889,31.1310889,31.1310889,31.1310889,31.1477581,32.1471412,32.1471412,32.5472192,x,1,0.3848518,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
150,v,13,1,3,v,1,0.8364718,None,3,1,13,1,,,,,32.5632834,,32.5476742,32.5632834,33.5622863,33.5622863,33.5622863,33.5622863,33.5622863,34.5615101,34.5615101,35.4116322,v,1,0.8364718,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
50,c,14,2,3,c,1,0.7554455,None,3,2,14,2,,,,,35.427498,,35.4121328,35.427498,36.4268615,36.4268615,36.4268615,36.4268615,36.4268615,37.4256883,37.4256883,38.191984,c,1,0.7554455,None,,,,,NEW,1,2025-10-03_23h18.27.550,Motor Sequence Learning,,2025.1.1,60.31352175,2025-10-03 23h18.44.621178 +0530
