study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
book,0,0,0,1.985185185,1.9366109,,,,,,,,,,0,0,0,2,,,,,0.0236033,,0.0144263,0.0236033,0.0236033,1.9671587,1.985185185,1.9366109,,,,,,,,,,,,,,,P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
tiger,1,1,0,1.985185185,0.8629791,,,,,,,,,,0,1,1,1,,,,,1.9830537,,1.9719777,1.9830537,1.9830537,2.8498356,1.985185185,0.8629791,,,,,,,,,,,,,,,P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
piano,2,2,0,1.985185185,0.7788084,,,,,,,,,,0,2,2,4,,,,,2.8657062,,2.8538905,2.8657062,2.8657062,3.6491636,1.985185185,0.7788084,,,,,,,,,,,,,,,P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
vase,3,3,0,1.985185185,0.6636134,,,,,,,,,,0,3,3,0,,,,,3.6649942,,3.6535712,3.6649942,3.6649942,4.33154,1.985185185,0.6636134,,,,,,,,,,,,,,,P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
cushion,4,4,0,1.985185185,0.6145397,,,,,,,,,,0,4,4,3,,,,,4.3477716,,4.3356338,4.3477716,4.3477716,4.9645819,1.985185185,0.6145397,,,,,,,,,,,,,,,P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
,0,0,0,,,_pad_,,[np.float64(-0.2537037037037037)],[np.float64(-0.2861111111111111)],[1],[0],[0],[0.34178369999995084],[None],,,,,0,0,0,7,4.9805296,,,,,,,,4.972658,4.9805296,4.9805296,4.9805296,0.0080775,14.9728226,,[np.float64(-0.2537037037037037)],[np.float64(-0.2861111111111111)],[1],[0],[0],[0.34178369999995084],[None],P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
,1,1,0,,,s_h_o_,,[],[],[],[],[],[],[],,,,,0,1,1,2,14.9892506,,,,,,,,14.97509,14.9892506,14.9892506,14.9892506,0.0105072,24.9811182,,[],[],[],[],[],[],[],P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
,2,2,0,,,b_o_,BOOK,[np.float64(0.06851851851851852)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.1961045999998987],['text_3'],,,,,0,2,2,5,24.9975995,,,,,,,,24.9846081,24.9975995,24.9975995,24.9975995,0.0200436,28.1809829,BOOK,[np.float64(0.06851851851851852)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.1961045999998987],['text_3'],P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
,3,3,0,,,c_m_r_,CAMERA,[np.float64(0.06574074074074074)],[np.float64(-0.30925925925925923)],[1],[0],[0],[2.7945330000000013],['text_3'],,,,,0,3,3,6,28.1948945,,,,,,,,28.1831583,28.1948945,28.1948945,28.1948945,0.0020954,30.9778896,CAMERA,[np.float64(0.06574074074074074)],[np.float64(-0.30925925925925923)],[1],[0],[0],[2.7945330000000013],['text_3'],P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
,4,4,0,,,v_s_,VASE,[np.float64(0.06574074074074074)],[np.float64(-0.30925925925925923)],[1],[0],[0],[2.7460651999999754],['text_3'],,,,,0,4,4,0,30.9927726,,,,,,,,30.9798034,30.9927726,30.9927726,30.9927726,0.0018384,33.7261391,VASE,[np.float64(0.06574074074074074)],[np.float64(-0.30925925925925923)],[1],[0],[0],[2.7460651999999754],['text_3'],P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
,5,5,0,,,Bo_t_e,BOTTLE,[np.float64(0.06574074074074074)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.259140299999899],['text_3'],,,,,0,5,5,8,33.7404218,,,,,,,,33.7312471,33.7404218,33.7404218,33.7404218,0.0049164,36.9906112,BOTTLE,[np.float64(0.06574074074074074)],[np.float64(-0.30925925925925923)],[1],[0],[0],[3.259140299999899],['text_3'],P1,1,2025-10-16_10h01.17.138,wordpriming,,2025.1.1,60.04599523,2025-10-16 10h01.34.676614 +0530
