pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
-50,x,0,0,0,x,1,0.5560525,None,0,0,0,0,,,,,0.0178242,,0.0141703,0.0178242,1.0120546,1.0120546,1.0120546,1.0120546,1.0286187,2.0112279,2.0112279,2.5894936,x,1,0.5560525,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
150,v,1,1,0,v,1,0.8498304,None,0,1,1,1,,,,,2.5941218,,2.5897405,2.5941218,3.5932718,3.5932718,3.5932718,3.5932718,3.6098455,4.5924106,4.5924106,5.4593341,v,1,0.8498304,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
50,c,2,2,0,c,1,0.3310893,None,0,2,2,2,,,,,5.4749387,,5.4595988,5.4749387,6.474244,6.474244,6.474244,6.474244,6.474244,7.4735069,7.4735069,7.8067333,c,1,0.3310893,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
-150,z,3,3,0,z,1,0.2736511,None,0,3,3,3,,,,,7.8229257,,7.8069822,7.8229257,8.8055589,8.8055589,8.8055589,8.8055589,8.8221416,9.8214417,9.8214417,10.1048483,z,1,0.2736511,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
-50,x,4,0,1,x,1,0.2737382,None,1,0,4,0,,,,,10.1212844,,10.1051047,10.1212844,11.1203776,11.1203776,11.1203776,11.1203776,11.1203776,12.1195433,12.1195433,12.4030069,x,1,0.2737382,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
150,v,5,1,1,v,1,0.2948677,None,1,1,5,1,,,,,12.4190742,,12.403271,12.4190742,13.418498,13.418498,13.418498,13.418498,13.418498,14.4177803,14.4177803,14.7174796,v,1,0.2948677,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
50,c,6,2,1,c,1,0.0962301,None,1,2,6,2,,,,,14.7339677,,14.7177149,14.7339677,15.716604,15.716604,15.716604,15.716604,15.7331949,16.7324985,16.7324985,16.8327142,c,1,0.0962301,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
-150,z,7,3,1,z,1,0.2149683,None,1,3,7,3,,,,,16.8490466,,16.8330014,16.8490466,17.8481356,17.8481356,17.8481356,17.8481356,17.8481356,18.8473295,18.8473295,19.0641953,z,1,0.2149683,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
-50,x,8,0,2,x,1,0.2536912,None,2,0,8,0,,,,,19.0805591,,19.0644471,19.0805591,20.0796313,20.0796313,20.0796313,20.0796313,20.0796313,21.0787823,21.0787823,21.3456229,x,1,0.2536912,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
150,v,9,1,2,v,1,0.2935926,None,2,1,9,1,,,,,21.3618868,,21.3458692,21.3618868,22.360988,22.360988,22.360988,22.360988,22.360988,23.3604475,23.3604475,23.660541,v,1,0.2935926,None,,,,,RIM,1,2025-10-03_23h00.03.759,Motor Sequence Learning,,2025.1.1,60.05897791,2025-10-03 23h00.13.764823 +0530
