thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.44537037037037036)],[np.float64(-0.4185185185185185)],[1],[0],[0],[3.311748699983582],['target'],0,0,0,0,0.0686864000163041,,10,0.040153699985239655,0.0686864000163041,0.0686864000163041,0.040210000006482005,3.3519454000052065,[np.float64(-0.44537037037037036)],[np.float64(-0.4185185185185185)],[1],[0],[0],[3.311748699983582],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
1,0,1,[np.float64(0.02962962962962963)],[np.float64(0.3675925925925926)],[1],[0],[0],[2.1364442000049166],['target'],1,0,1,0,3.3700896999798715,,5,3.3639127999776974,3.3700896999798715,3.3700896999798715,0.011812399956397712,5.500497100001667,[np.float64(0.02962962962962963)],[np.float64(0.3675925925925926)],[1],[0],[0],[2.1364442000049166],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
2,0,2,[np.float64(0.4740740740740741)],[np.float64(0.4861111111111111)],[1],[0],[0],[2.6019656999851577],['target'],2,0,2,0,5.534744500007946,,10,5.526800599996932,5.534744500007946,5.534744500007946,0.02601260005030781,8.12882709997939,[np.float64(0.4740740740740741)],[np.float64(0.4861111111111111)],[1],[0],[0],[2.6019656999851577],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
3,0,3,[np.float64(0.3907407407407407)],[np.float64(-0.03611111111111111)],[1],[0],[0],[1.8839049999951385],['target'],3,0,3,0,8.15518990001874,,10,8.147437400009949,8.15518990001874,8.15518990001874,0.018474999989848584,10.0314663000172,[np.float64(0.3907407407407407)],[np.float64(-0.03611111111111111)],[1],[0],[0],[1.8839049999951385],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
4,0,4,[np.float64(0.33240740740740743)],[np.float64(-0.18055555555555555)],[1],[0],[0],[1.7955449000000954],['target'],4,0,4,0,10.053145200014114,,5,10.048009700025432,10.053145200014114,10.053145200014114,0.016273100045509636,11.843666800006758,[np.float64(0.33240740740740743)],[np.float64(-0.18055555555555555)],[1],[0],[0],[1.7955449000000954],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
5,0,5,[np.float64(-0.31666666666666665)],[np.float64(-0.23703703703703705)],[1],[0],[0],[2.5910644000396132],['target'],5,0,5,0,11.875211999984458,,10,11.867836699995678,11.875211999984458,11.875211999984458,0.02402119996258989,14.458983100019395,[np.float64(-0.31666666666666665)],[np.float64(-0.23703703703703705)],[1],[0],[0],[2.5910644000396132],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
6,0,6,[np.float64(0.4703703703703704)],[np.float64(-0.48055555555555557)],[1],[0],[0],[2.639145900029689],['target'],6,0,6,0,14.500169500010088,,10,14.482750500028487,14.500169500010088,14.500169500010088,0.023605399997904897,17.122121900029015,[np.float64(0.4703703703703704)],[np.float64(-0.48055555555555557)],[1],[0],[0],[2.639145900029689],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
7,0,7,[np.float64(0.1787037037037037)],[np.float64(0.04537037037037037)],[1],[0],[0],[1.5253003999823704],['target'],7,0,7,0,17.153873200004455,,10,17.145286499988288,17.153873200004455,17.153873200004455,0.022770100040361285,18.670680499984883,[np.float64(0.1787037037037037)],[np.float64(0.04537037037037037)],[1],[0],[0],[1.5253003999823704],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
8,0,8,[np.float64(-0.11296296296296296)],[np.float64(0.3972222222222222)],[1],[0],[0],[1.7241777000017464],['target'],8,0,8,0,18.691288500034716,,5,18.68211930000689,18.691288500034716,18.691288500034716,0.01111059996765107,20.40642770001432,[np.float64(-0.11296296296296296)],[np.float64(0.3972222222222222)],[1],[0],[0],[1.7241777000017464],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
9,0,9,[np.float64(-0.35)],[np.float64(-0.26481481481481484)],[1],[0],[0],[2.6902417999808677],['target'],9,0,9,0,20.447733199980576,,10,20.429153500008397,20.447733199980576,20.447733199980576,0.02244500000961125,23.119524399982765,[np.float64(-0.35)],[np.float64(-0.26481481481481484)],[1],[0],[0],[2.6902417999808677],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
10,0,10,[np.float64(-0.04351851851851852)],[np.float64(0.29907407407407405)],[1],[0],[0],[3.2222125999978743],['target'],10,0,10,0,23.152446100022644,,10,23.14366689999588,23.152446100022644,23.152446100022644,0.023851200006902218,26.366101899999194,[np.float64(-0.04351851851851852)],[np.float64(0.29907407407407405)],[1],[0],[0],[3.2222125999978743],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
11,0,11,[np.float64(-0.09166666666666666)],[np.float64(-0.26944444444444443)],[1],[0],[0],[2.1374083000118844],['target'],11,0,11,0,26.402022299997043,,5,26.391216800024267,26.402022299997043,26.402022299997043,0.02473110001301393,28.528659000003245,[np.float64(-0.09166666666666666)],[np.float64(-0.26944444444444443)],[1],[0],[0],[2.1374083000118844],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
12,0,12,[np.float64(-0.05185185185185185)],[np.float64(-0.3425925925925926)],[1],[0],[0],[3.798087500035763],['target'],12,0,12,0,28.55814450001344,,10,28.546193499991205,28.55814450001344,28.55814450001344,0.01741449994733557,32.344372700026724,[np.float64(-0.05185185185185185)],[np.float64(-0.3425925925925926)],[1],[0],[0],[3.798087500035763],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
13,0,13,[np.float64(0.19166666666666668)],[np.float64(-0.006481481481481481)],[1],[0],[0],[2.1318240000400692],['target'],13,0,13,0,32.36656799999764,,5,32.36027710000053,32.36656799999764,32.36656799999764,0.015710000006947666,34.49223480001092,[np.float64(0.19166666666666668)],[np.float64(-0.006481481481481481)],[1],[0],[0],[2.1318240000400692],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
14,0,14,[np.float64(-0.12129629629629629)],[np.float64(-0.046296296296296294)],[1],[0],[0],[1.8315093999844976],['target'],14,0,14,0,34.51405140000861,,5,34.50718409998808,34.51405140000861,34.51405140000861,0.014764900028239936,36.338753500021994,[np.float64(-0.12129629629629629)],[np.float64(-0.046296296296296294)],[1],[0],[0],[1.8315093999844976],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
15,0,15,[np.float64(0.1675925925925926)],[np.float64(-0.3351851851851852)],[1],[0],[0],[4.8298734000418335],['target'],15,0,15,0,36.37504860002082,,10,36.35645309998654,36.37504860002082,36.37504860002082,0.01759419997688383,41.18642220000038,[np.float64(0.1675925925925926)],[np.float64(-0.3351851851851852)],[1],[0],[0],[4.8298734000418335],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
16,0,16,[np.float64(-0.06018518518518518)],[np.float64(0.20277777777777778)],[1],[0],[0],[3.193311500013806],['target'],16,0,16,0,41.217837399977725,,10,41.209135700017214,41.217837399977725,41.217837399977725,0.022509000031277537,44.40256830002181,[np.float64(-0.06018518518518518)],[np.float64(0.20277777777777778)],[1],[0],[0],[3.193311500013806],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
17,0,17,[np.float64(-0.14444444444444443)],[np.float64(0.4166666666666667)],[1],[0],[0],[1.7532031000009738],['target'],17,0,17,0,44.43949520000024,,10,44.430451299995184,44.43949520000024,44.43949520000024,0.027529300015885383,46.18373490002705,[np.float64(-0.14444444444444443)],[np.float64(0.4166666666666667)],[1],[0],[0],[1.7532031000009738],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
18,0,18,[np.float64(-0.4009259259259259)],[np.float64(-0.33611111111111114)],[1],[0],[0],[1.6689365000347607],['target'],18,0,18,0,46.209664800029714,,5,46.196785899985116,46.209664800029714,46.209664800029714,0.012833100045099854,47.8658116000006,[np.float64(-0.4009259259259259)],[np.float64(-0.33611111111111114)],[1],[0],[0],[1.6689365000347607],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
19,0,19,[np.float64(-0.3194444444444444)],[np.float64(-0.15185185185185185)],[1],[0],[0],[2.1070220000110567],['target'],19,0,19,0,47.89775980002014,,10,47.88716949999798,47.89775980002014,47.89775980002014,0.021224499971140176,49.99424580001505,[np.float64(-0.3194444444444444)],[np.float64(-0.15185185185185185)],[1],[0],[0],[2.1070220000110567],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
20,0,20,[np.float64(-0.21296296296296297)],[np.float64(-0.21388888888888888)],[1],[0],[0],[2.085395200003404],['target'],20,0,20,0,50.01405130000785,,5,50.007962699979544,50.01405130000785,50.01405130000785,0.01358040003105998,52.09349749999819,[np.float64(-0.21296296296296297)],[np.float64(-0.21388888888888888)],[1],[0],[0],[2.085395200003404],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
21,0,21,[np.float64(0.2962962962962963)],[np.float64(-0.09444444444444444)],[1],[0],[0],[1.5398876999970526],['target'],21,0,21,0,52.11753230000613,,5,52.106501500005834,52.11753230000613,52.11753230000613,0.012748299981467426,53.646521600021515,[np.float64(0.2962962962962963)],[np.float64(-0.09444444444444444)],[1],[0],[0],[1.5398876999970526],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
22,0,22,[np.float64(0.12777777777777777)],[np.float64(-0.09444444444444444)],[1],[0],[0],[1.2850834000273608],['target'],22,0,22,0,53.6676125000231,,5,53.66021030000411,53.6676125000231,53.6676125000231,0.013428299978841096,54.945481200004,[np.float64(0.12777777777777777)],[np.float64(-0.09444444444444444)],[1],[0],[0],[1.2850834000273608],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
23,0,23,[np.float64(-0.30092592592592593)],[np.float64(0.2361111111111111)],[1],[0],[0],[2.5215921999770217],['target'],23,0,23,0,54.98152040003333,,10,54.96951030002674,54.98152040003333,54.98152040003333,0.023549499979708344,57.49123089999193,[np.float64(-0.30092592592592593)],[np.float64(0.2361111111111111)],[1],[0],[0],[2.5215921999770217],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
24,0,24,[np.float64(-0.40185185185185185)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.0843803000170738],['target'],24,0,24,0,57.52027570002247,,5,57.50617639999837,57.52027570002247,57.52027570002247,0.014620099973399192,58.59065070003271,[np.float64(-0.40185185185185185)],[np.float64(0.2712962962962963)],[1],[0],[0],[1.0843803000170738],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
25,0,25,[np.float64(0.20833333333333334)],[np.float64(0.3074074074074074)],[1],[0],[0],[1.3138589999871328],['target'],25,0,25,0,58.615932999993674,,5,58.60809170000721,58.615932999993674,58.615932999993674,0.01727229997050017,59.9221256999881,[np.float64(0.20833333333333334)],[np.float64(0.3074074074074074)],[1],[0],[0],[1.3138589999871328],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
26,0,26,[np.float64(0.3388888888888889)],[np.float64(0.0)],[1],[0],[0],[1.8790014000260271],['target'],26,0,26,0,59.9513415999827,,5,59.94238790002419,59.9513415999827,59.9513415999827,0.020058800000697374,61.82155019999482,[np.float64(0.3388888888888889)],[np.float64(0.0)],[1],[0],[0],[1.8790014000260271],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
27,0,27,[np.float64(0.3638888888888889)],[np.float64(-0.4583333333333333)],[1],[0],[0],[3.073475099983625],['target'],27,0,27,0,61.8548715999932,,10,61.84440479998011,61.8548715999932,61.8548715999932,0.022583000012673438,64.91801840002881,[np.float64(0.3638888888888889)],[np.float64(-0.4583333333333333)],[1],[0],[0],[3.073475099983625],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
28,0,28,[np.float64(0.46574074074074073)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.7942984999972396],['target'],28,0,28,0,64.9498528999975,,10,64.94058049999876,64.9498528999975,64.9498528999975,0.022098399989772588,66.73499820003053,[np.float64(0.46574074074074073)],[np.float64(0.2916666666666667)],[1],[0],[0],[1.7942984999972396],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
29,0,29,[np.float64(-0.337037037037037)],[np.float64(0.18703703703703703)],[1],[0],[0],[1.5706782000488602],['target'],29,0,29,0,66.77030720002949,,10,66.7595967000234,66.77030720002949,66.77030720002949,0.02431170002091676,68.3303529000259,[np.float64(-0.337037037037037)],[np.float64(0.18703703703703703)],[1],[0],[0],[1.5706782000488602],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
30,0,30,[np.float64(0.24351851851851852)],[np.float64(0.18518518518518517)],[1],[0],[0],[2.201857600011863],['target'],30,0,30,0,68.34908730001189,,5,68.34311339998385,68.34908730001189,68.34908730001189,0.012586600030772388,70.54505610000342,[np.float64(0.24351851851851852)],[np.float64(0.18518518518518517)],[1],[0],[0],[2.201857600011863],['target'],RIM,001,2025-09-30_18h31.43.714,Visual search experiment,,2025.1.1,60.0761164386321,2025-09-30 18h31.55.390128 +0530,
