reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
19,79,43,0,0,0,l,4.1655917,None,0,0,0,24,0.2141664,,0.2097954,0.2141664,1.0096808,1.0096808,1.226198,5.2232228,l,4.1655917,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
4,92,98,1,1,0,l,0.9108335,None,0,1,1,5,5.2304183,,5.2279665,5.2304183,6.2389739,6.2389739,6.2389739,7.1549716,l,0.9108335,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
34,88,112,2,2,0,t,1.9671011,None,0,2,2,46,7.1712151,,7.1578113,7.1712151,8.1539425,8.1539425,8.1704465,10.135941,t,1.9671011,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
35,52,122,3,3,0,t,1.6319106,None,0,3,3,67,10.1521288,,10.1402445,10.1521288,11.1514714,11.1514714,11.1514714,12.8006257,t,1.6319106,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
38,96,90,4,4,0,l,1.5747,None,0,4,4,8,12.8165425,,12.8052401,12.8165425,13.8157642,13.8157642,13.8157642,15.3983438,l,1.5747,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
48,74,94,5,5,0,t,1.4234544,None,0,5,5,76,15.4144525,,15.4015649,15.4144525,16.4137318,16.4137318,16.4137318,17.846286,t,1.4234544,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
37,93,131,6,6,0,l,1.2124586,None,0,6,6,99,17.8622827,,17.8488579,17.8622827,18.8614988,18.8614988,18.8614988,20.0779887,l,1.2124586,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
39,82,120,7,7,0,l,1.1367039,None,0,7,7,45,20.0940611,,20.0821494,20.0940611,21.0932092,21.0932092,21.0932092,22.2424955,l,1.1367039,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
41,77,61,8,8,0,l,1.1675342,None,0,8,8,85,22.259014,,22.2448911,22.259014,23.2581873,23.2581873,23.2581873,24.4406789,l,1.1675342,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
32,66,85,9,9,0,t,1.1083227,None,0,9,9,31,24.4569851,,24.4437265,24.4569851,25.439953,25.439953,25.4565003,26.5560345,t,1.1083227,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
34,61,70,10,10,0,t,1.9396843,None,0,10,10,34,26.5720829,,26.5598163,26.5720829,27.5711742,27.5711742,27.5711742,29.5202664,t,1.9396843,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
42,68,123,11,11,0,t,1.7451878,None,0,11,11,75,29.5363699,,29.5231199,29.5363699,30.5355998,30.5355998,30.5355998,32.2860465,t,1.7451878,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
9,70,96,12,12,0,l,1.114869,None,0,12,12,90,32.3016954,,32.293185,32.3016954,33.2998944,33.2998944,33.3166042,34.4162269,l,1.114869,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
33,51,73,13,13,0,t,1.5494457,None,0,13,13,83,34.4324365,,34.4198111,34.4324365,35.4314863,35.4314863,35.4314863,36.9973738,t,1.5494457,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
21,82,35,14,14,0,l,1.2074729,None,0,14,14,72,37.0137862,,37.0009466,37.0137862,38.0128525,38.0128525,38.0295482,39.2290035,l,1.2074729,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
1,88,93,15,15,0,l,0.9464269,None,0,15,15,47,39.2448297,,39.2344939,39.2448297,40.2443324,40.2443324,40.2443324,41.1941268,l,0.9464269,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
11,58,89,16,16,0,t,1.7371668,None,0,16,16,0,41.2102815,,41.1999625,41.2102815,42.2092324,42.2092324,42.226147,43.9580352,t,1.7371668,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
25,96,47,17,17,0,t,1.026389,None,0,17,17,27,43.9743766,,43.9624839,43.9743766,44.9571417,44.9571417,44.9737953,45.9896844,t,1.026389,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
10,83,93,18,18,0,l,1.5995048,None,0,18,18,10,46.0059418,,45.9922375,46.0059418,46.9887773,46.9887773,47.0054377,48.604377,l,1.5995048,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
22,88,100,19,19,0,l,3.1753266,None,0,19,19,55,48.6206457,,48.6072266,48.6206457,49.6199054,49.6199054,49.6199054,52.8006011,l,3.1753266,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
22,77,97,20,20,0,l,0.717143,None,0,20,20,96,52.8171123,,52.8029744,52.8171123,53.8163944,53.8163944,53.8163944,54.5499016,l,0.717143,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
5,85,125,21,21,0,l,0.66251,None,0,21,21,61,54.5657889,,54.5552808,54.5657889,55.5651011,55.5651011,55.5651011,56.2318385,l,0.66251,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
36,68,74,22,22,0,l,0.9190829,None,0,22,22,65,56.2475623,,56.2365793,56.2475623,57.2466881,57.2466881,57.2466881,58.179838,l,0.9190829,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
3,85,74,23,23,0,l,0.6409489,None,0,23,23,20,58.1959833,,58.1826708,58.1959833,59.1952082,59.1952082,59.1952082,59.8453374,l,0.6409489,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
25,81,126,24,24,0,t,1.336535,None,0,24,24,79,59.8615491,,59.8490225,59.8615491,60.8607596,60.8607596,60.8607596,62.2099906,t,1.336535,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
34,91,37,25,25,0,t,1.1353841,None,0,25,25,87,62.2259556,,62.2140051,62.2259556,63.2250557,63.2250557,63.2250557,64.374811,t,1.1353841,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
17,78,73,26,26,0,l,1.8488572,None,0,26,26,18,64.3908334,,64.3804379,64.3908334,65.3906152,65.3906152,65.3906152,67.2556774,l,1.8488572,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
45,73,69,27,27,0,t,1.6665749,None,0,27,27,38,67.2719619,,67.2600801,67.2719619,68.2710792,68.2710792,68.2710792,69.9539006,t,1.6665749,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
42,52,101,28,28,0,t,0.9454102,None,0,28,28,70,69.9693878,,69.9589816,69.9693878,70.9689641,70.9689641,70.9689641,71.9180583,t,0.9454102,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
20,94,116,29,29,0,l,0.8129651,None,0,29,29,66,71.9349082,,71.9203724,71.9349082,72.917172,72.917172,72.9504801,73.7339799,l,0.8129651,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
1,62,47,30,30,0,l,0.6174163,None,0,30,30,33,73.7498853,,73.7378502,73.7498853,74.7494202,74.7494202,74.7494202,75.3821579,l,0.6174163,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
25,72,41,31,31,0,l,1.7010955,None,0,31,31,26,75.3984177,,75.3848805,75.3984177,76.3813443,76.3813443,76.3978886,78.0970936,l,1.7010955,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
26,79,79,32,32,0,l,0.9655952,None,0,32,32,44,78.1128318,,78.099275,78.1128318,79.1122175,79.1122175,79.1122175,80.0787208,l,0.9655952,None,RIM,1,2025-11-06_12h36.40.596,delay discounting,,2025.1.1,60.12122845,2025-11-06 12h36.58.492478 +0530
