gaze_image,posx,posy,validity,target_image,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instructions.stopped,trial.started,neut.started,trial.stopped,resp.started,G.started,targ.started,mouse.started,G.stopped,resp.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,neut.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.002509300014935434,1.5870691000018269,,,,,,,,,,,,,,,,,,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,0,0,0,[np.float64(0.3212962962962963)],[np.float64(-0.009259259259259259)],[1],[0],[0],[0.633222000033129],['targ'],0,0,0,2,1.606826200033538,,,,1.6014280000235885,1.606826200033538,2.0013228000025265,2.023246900003869,2.0331154000014067,3.0008752000285313,1.0139197999378666,3.033850000007078,3.6370941000059247,[np.float64(0.3212962962962963)],[np.float64(-0.009259259259259259)],[1],[0],[0],[0.633222000033129],['targ'],,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,1,1,0,[np.float64(0.35648148148148145)],[np.float64(-0.03333333333333333)],[1],[0],[0],[0.9146117999916896],['targ'],0,1,1,0,3.6498419000417925,,,,3.637343700043857,3.6498419000417925,4.03325900004711,4.044911600009073,4.052559300034773,5.049105500045698,1.012014799984172,5.065454400028102,5.967513300012797,[np.float64(0.35648148148148145)],[np.float64(-0.03333333333333333)],[1],[0],[0],[0.9146117999916896],['targ'],4.052559300034773,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,-0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,2,2,0,[np.float64(-0.35)],[np.float64(0.03518518518518519)],[1],[0],[0],[0.882692200015299],['targ'],0,2,2,1,5.9812172000529245,,,,5.967747100046836,5.9812172000529245,6.36448080005357,6.3735417000134476,6.380817299999762,7.380027700040955,1.012517699971795,7.380027700040955,8.26294050004799,[np.float64(-0.35)],[np.float64(0.03518518518518519)],[1],[0],[0],[0.882692200015299],['targ'],6.380817299999762,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,3,3,0,[np.float64(0.37962962962962965)],[np.float64(-0.10277777777777777)],[1],[0],[0],[0.8477794000064023],['targ'],0,3,3,4,8.279317300010007,,,,8.263171200000215,8.279317300010007,8.662293400033377,8.674366200051736,8.67944240005454,9.679313700005878,1.0164941999828443,9.695075099996757,10.530993100022897,[np.float64(0.37962962962962965)],[np.float64(-0.10277777777777777)],[1],[0],[0],[0.8477794000064023],['targ'],8.67944240005454,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\leftgaze.png,-0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,4,4,0,[np.float64(-0.4648148148148148)],[np.float64(-0.030555555555555555)],[1],[0],[0],[0.4190962999709882],['targ'],0,4,4,5,10.544001300004311,,,,10.53154400002677,10.544001300004311,10.927543000027072,10.93953870004043,10.943801800021902,11.943497900036164,1.0125129999942146,11.943497900036164,12.363107200013474,[np.float64(-0.4648148148148148)],[np.float64(-0.030555555555555555)],[1],[0],[0],[0.4190962999709882],['targ'],10.943801800021902,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,0.5,0,valid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,5,5,0,[np.float64(0.45925925925925926)],[np.float64(-0.08703703703703704)],[1],[0],[0],[0.5023851000005379],['targ'],0,5,5,6,12.375774600019213,,,,12.363424400042277,12.375774600019213,12.759503300010692,12.77050710003823,12.775829300051555,13.775540400005411,1.0123961999779567,13.791620700038038,14.280380200012587,[np.float64(0.45925925925925926)],[np.float64(-0.08703703703703704)],[1],[0],[0],[0.5023851000005379],['targ'],12.775829300051555,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,-0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\women neutral face.JPG,6,6,0,[np.float64(-0.4064814814814815)],[np.float64(0.007407407407407408)],[1],[0],[0],[0.5701585999922827],['targ'],0,6,6,7,14.291083700023592,,,,14.280866100045387,14.291083700023592,14.673968600051012,14.68426550005097,14.690812800021376,15.69001770002069,1.0095911999815144,15.69001770002069,16.260615700040944,[np.float64(-0.4064814814814815)],[np.float64(0.007407407407407408)],[1],[0],[0],[0.5701585999922827],['targ'],14.690812800021376,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,-0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,7,7,0,[np.float64(-0.31851851851851853)],[np.float64(-0.010185185185185186)],[1],[0],[0],[0.8139201999874786],['targ'],0,7,7,3,16.272597400005907,,,,16.261239900020882,16.272597400005907,16.65620690002106,16.668840700003784,16.67318179999711,17.67246700002579,1.0117743999580853,17.688508100050967,18.490197800041642,[np.float64(-0.31851851851851853)],[np.float64(-0.010185185185185186)],[1],[0],[0],[0.8139201999874786],['targ'],16.67318179999711,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\gaze_image\rightgaze.png,-0.5,0,invalid,C:\Users\RIYA MANIYAR\OneDrive\Desktop\Lab in Psycholgy\Solo-project Gaze Cue\stimuli\target\men neutral face.JPG,8,0,1,[np.float64(-0.47962962962962963)],[np.float64(0.06481481481481481)],[1],[0],[0],[0.6540302999783307],['targ'],1,0,8,3,18.504096700053196,,,,18.490415500011295,18.504096700053196,18.88801560003776,18.89657250000164,18.90412440005457,19.903114600048866,1.0129863999900408,19.903114600048866,20.557548800017685,[np.float64(-0.47962962962962963)],[np.float64(0.06481481481481481)],[1],[0],[0],[0.6540302999783307],['targ'],18.90412440005457,RI,,2025-11-23_12h48.42.760,solo-project,,2025.1.1,60.037992044092626,2025-11-23 12h48.52.362078 +0530,
