thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,[np.float64(-0.2361111111111111)],[np.float64(0.09166666666666666)],[1],[0],[0],[1.8306530000409111],['target'],0,0,0,0,0.0367383,,5,0.0256774,0.0367383,0.0367383,0.0257051,1.8564486,[np.float64(-0.2361111111111111)],[np.float64(0.09166666666666666)],[1],[0],[0],[1.8306530000409111],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
1,0,1,[np.float64(0.037037037037037035)],[np.float64(-0.4824074074074074)],[1],[0],[0],[2.668222700012848],['target'],1,0,1,0,1.8903351,,10,1.8816787,1.8903351,1.8903351,0.0249967,4.5499527,[np.float64(0.037037037037037035)],[np.float64(-0.4824074074074074)],[1],[0],[0],[2.668222700012848],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
2,0,2,[np.float64(0.4666666666666667)],[np.float64(-0.42962962962962964)],[1],[0],[0],[2.6455807999591343],['target'],2,0,2,0,4.5794219,,10,4.5715651,4.5794219,4.5794219,0.0215355,7.2171772,[np.float64(0.4666666666666667)],[np.float64(-0.42962962962962964)],[1],[0],[0],[2.6455807999591343],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
3,0,3,[np.float64(0.3731481481481482)],[np.float64(0.09722222222222222)],[1],[0],[0],[2.2370685000205413],[None],3,0,3,0,7.2348674,,5,7.2298949,7.2348674,7.2348674,0.0125281,9.4670704,[np.float64(0.3731481481481482)],[np.float64(0.09722222222222222)],[1],[0],[0],[2.2370685000205413],[None],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
4,0,4,[np.float64(-0.23148148148148148)],[np.float64(-0.22962962962962963)],[1],[0],[0],[2.800640600034967],['target'],4,0,4,0,9.4837406,,5,9.479139,9.4837406,9.4837406,0.0118915,12.279909,[np.float64(-0.23148148148148148)],[np.float64(-0.22962962962962963)],[1],[0],[0],[2.800640600034967],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
5,0,5,[np.float64(0.21851851851851853)],[np.float64(-0.3574074074074074)],[1],[0],[0],[2.2348536999779753],['target'],5,0,5,0,12.3032276,,5,12.2959226,12.3032276,12.3032276,0.0158323,14.5308981,[np.float64(0.21851851851851853)],[np.float64(-0.3574074074074074)],[1],[0],[0],[2.2348536999779753],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
6,0,6,[np.float64(-0.36574074074074076)],[np.float64(0.31296296296296294)],[1],[0],[0],[3.0442451999988407],['target'],6,0,6,0,14.5496302,,5,14.5449912,14.5496302,14.5496302,0.0137794,17.5893036,[np.float64(-0.36574074074074076)],[np.float64(0.31296296296296294)],[1],[0],[0],[3.0442451999988407],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
7,0,7,[np.float64(-0.42592592592592593)],[np.float64(0.29259259259259257)],[1],[0],[0],[1.2133830999955535],['target'],7,0,7,0,17.6162921,,10,17.6086547,17.6162921,17.6162921,0.0192228,18.8221286,[np.float64(-0.42592592592592593)],[np.float64(0.29259259259259257)],[1],[0],[0],[1.2133830999955535],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
8,0,8,[np.float64(0.07777777777777778)],[np.float64(0.3111111111111111)],[1],[0],[0],[1.934940600011032],['target'],8,0,8,0,18.8421333,,5,18.8369807,18.8421333,18.8421333,0.014723,20.7721374,[np.float64(0.07777777777777778)],[np.float64(0.3111111111111111)],[1],[0],[0],[1.934940600011032],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
9,0,9,[np.float64(0.3435185185185185)],[np.float64(-0.16203703703703703)],[1],[0],[0],[2.2947325999848545],['target'],9,0,9,0,20.8043086,,10,20.7948637,20.8043086,20.8043086,0.0222999,23.0896535,[np.float64(0.3435185185185185)],[np.float64(-0.16203703703703703)],[1],[0],[0],[2.2947325999848545],['target'],ROS,1,2025-09-30_18h21.33.317,Visual search experiment,,2025.1.1,60.06695062,2025-09-30 18h22.05.523102 +0530
