reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
33,71,76,0,0,0,t,1.1117339,None,0,0,0,48,0.0850474,,0.0825069,0.0850474,1.008103,1.008103,1.0914803,2.1374408,t,1.1117339,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
21,82,35,1,1,0,t,1.0910438,None,0,1,1,72,2.1445111,,2.1425219,2.1445111,3.1395153,3.1395153,3.1562512,4.2392394,t,1.0910438,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
45,73,69,2,2,0,t,0.7920432,None,0,2,2,38,4.2553907,,4.2463303,4.2553907,5.2548746,5.2548746,5.2548746,6.054629,t,0.7920432,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
38,99,100,3,3,0,t,0.9612078,None,0,3,3,11,6.0705324,,6.0613559,6.0705324,7.0696437,7.0696437,7.0696437,8.0357475,t,0.9612078,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
33,51,73,4,4,0,t,0.6961832,None,0,4,4,83,8.0522399,,8.0385066,8.0522399,9.0349597,9.0349597,9.0515788,9.7350021,t,0.6961832,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
48,74,94,5,5,0,t,0.6302176,None,0,5,5,76,9.7510801,,9.7408029,9.7510801,10.7501234,10.7501234,10.7667357,11.3832634,t,0.6302176,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
45,78,81,6,6,0,t,0.5324462,None,0,6,6,1,11.399569,,11.3854344,11.399569,12.3989308,12.3989308,12.3989308,12.948562,t,0.5324462,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
22,70,48,7,7,0,t,0.7188743,None,0,7,7,15,12.9648845,,12.9510438,12.9648845,13.9640698,13.9640698,13.9640698,14.6973745,t,0.7188743,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
34,61,70,8,8,0,t,0.7895788,None,0,8,8,34,14.7134812,,14.7007003,14.7134812,15.7128941,15.7128941,15.7128941,16.5127744,t,0.7895788,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
13,62,88,9,9,0,l,1.5005142,None,0,9,9,39,16.5285068,,16.5182869,16.5285068,17.5280202,17.5280202,17.5280202,19.0435977,l,1.5005142,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
37,68,107,10,10,0,l,1.9681966,None,0,10,10,32,19.0598605,,19.0461515,19.0598605,20.0592142,20.0592142,20.0592142,22.0413183,l,1.9681966,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
35,69,92,11,11,0,t,1.3828211,None,0,11,11,53,22.057321,,22.04652,22.057321,23.0570757,23.0570757,23.0570757,24.4561847,t,1.3828211,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
34,91,37,12,12,0,t,1.4704077,None,0,12,12,87,24.4722052,,24.4615404,24.4722052,25.4714621,25.4714621,25.4714621,26.9537817,t,1.4704077,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
18,99,74,13,13,0,l,1.4141873,None,0,13,13,52,26.9701097,,26.9563916,26.9701097,27.9527943,27.9527943,27.9691933,29.3681611,l,1.4141873,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
31,68,56,14,14,0,t,1.8304825,None,0,14,14,41,29.3845374,,29.3718264,29.3845374,30.3674266,30.3674266,30.3841599,32.1996908,t,1.8304825,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
30,67,64,15,15,0,t,0.6191821,None,0,15,15,60,32.2155827,,32.2034937,32.2155827,33.2149749,33.2149749,33.2149749,33.8483387,t,0.6191821,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
22,88,100,16,16,0,l,1.0659944,None,0,16,16,55,33.8643418,,33.8525884,33.8643418,34.8632067,34.8632067,34.8800029,35.9298896,l,1.0659944,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
45,78,66,17,17,0,t,1.1343901,None,0,17,17,58,35.9459159,,35.9343075,35.9459159,36.9454438,36.9454438,36.9454438,38.0950695,t,1.1343901,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
9,68,69,18,18,0,l,2.9998396,None,0,18,18,98,38.1107092,,38.101447,38.1107092,39.1098537,39.1098537,39.1098537,42.1249954,l,2.9998396,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
8,63,60,19,19,0,l,1.0539,None,0,19,19,29,42.1407796,,42.1301334,42.1407796,43.1399396,43.1399396,43.1399396,44.2064093,l,1.0539,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
38,96,90,20,20,0,t,0.8338149,None,0,20,20,8,44.2224466,,44.2115032,44.2224466,45.2219909,45.2219909,45.2219909,46.0719213,t,0.8338149,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
39,93,39,21,21,0,l,2.305174,None,0,21,21,80,46.0876524,,46.0757786,46.0876524,47.0870382,47.0870382,47.0870382,49.4023108,l,2.305174,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
18,100,69,22,22,0,l,1.040939,None,0,22,22,13,49.4181562,,49.4064918,49.4181562,50.4176769,50.4176769,50.4176769,51.4673408,l,1.040939,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
23,87,143,23,23,0,t,0.90446,None,0,23,23,12,51.4831425,,51.4725568,51.4831425,52.482639,52.482639,52.482639,53.3987084,t,0.90446,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
36,73,89,24,24,0,l,3.4967827,None,0,24,24,19,53.414934,,53.4026956,53.414934,54.4143239,54.4143239,54.4143239,57.9118675,l,3.4967827,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
8,83,91,25,25,0,l,0.8117735,None,0,25,25,30,57.9278437,,57.9162633,57.9278437,58.9273154,58.9273154,58.9273154,59.7434147,l,0.8117735,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
42,52,101,26,26,0,t,0.8712171,None,0,26,26,70,59.75968,,59.7469473,59.75968,60.7591177,60.7591177,60.7591177,61.6420866,t,0.8712171,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
25,72,41,27,27,0,t,1.6012399,None,0,27,27,26,61.6580184,,61.6475549,61.6580184,62.6575693,62.6575693,62.6575693,64.273436,t,1.6012399,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
18,88,147,28,28,0,l,1.4576625,None,0,28,28,43,64.2891521,,64.2796053,64.2891521,65.2883277,65.2883277,65.2883277,66.754562,l,1.4576625,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
22,77,97,29,29,0,l,3.2672753,None,0,29,29,96,66.7705012,,66.7583457,66.7705012,67.7696676,67.7696676,67.7696676,71.0510204,l,3.2672753,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
25,81,126,30,30,0,t,1.6263711,None,0,30,30,79,71.0669775,,71.0562476,71.0669775,72.0663273,72.0663273,72.0663273,73.6990445,t,1.6263711,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
13,74,110,31,31,0,l,1.1988859,None,0,31,31,78,73.7148547,,73.7038729,73.7148547,74.7141939,74.7141939,74.7141939,75.9302464,l,1.1988859,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
42,94,108,32,32,0,t,0.9588281,None,0,32,32,92,75.946277,,75.9353767,75.946277,76.9458043,76.9458043,76.9458043,77.9117684,t,0.9588281,None,SHL,1,2025-11-06_12h42.00.030,delay discounting,,2025.1.1,60.02822527,2025-11-06 12h42.11.170713 +0530
