study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
piano,0,0,0,1.9703703703703703,7.143309600000066,,,,,,,,,,0,0,0,4,,,,,0.02155249999850639,,0.013773599999694852,0.02155249999850639,0.02155249999850639,7.171868899999026,1.9703703703703703,7.143309600000066,,,,,,,,,,,,,,,p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
vase,1,1,0,1.9703703703703703,2.3300483000002714,,,,,,,,,,0,1,1,0,,,,,7.18784069999856,,7.175736699999106,7.18784069999856,7.18784069999856,9.520054499998878,1.9703703703703703,2.3300483000002714,,,,,,,,,,,,,,,p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
cushion,2,2,0,2.9407407407407407,1.5123134999994363,,,,,,,,,,0,2,2,3,,,,,9.535592999998698,,9.524979799998619,9.535592999998698,9.535592999998698,11.051848999999493,2.9407407407407407,1.5123134999994363,,,,,,,,,,,,,,,p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
tiger,3,3,0,1,2.397554699999091,,,,,,,,,,0,3,3,1,,,,,11.067782099999022,,11.056352499999775,11.067782099999022,11.067782099999022,13.466528299999482,1,2.397554699999091,,,,,,,,,,,,,,,p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
book,4,4,0,1,1.1146422999991046,,,,,,,,,,0,4,4,2,,,,,13.48266109999895,,13.468418099999326,13.48266109999895,13.48266109999895,14.599103999998988,1,1.1146422999991046,,,,,,,,,,,,,,,p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
,0,0,0,,,c_a_t,c,[],[],[],[],[],[],[],,,,,0,0,0,4,14.614934399998674,,,,,,,,14.6064054999988,14.614934399998674,14.614934399998674,14.614934399998674,0.007297600001038518,24.60691869999937,c,[],[],[],[],[],[],[],p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
,1,1,0,,,c_m_r_,comrce,[],[],[],[],[],[],[],,,,,0,1,1,6,24.623391999999512,,,,,,,,24.61072189999868,24.623391999999512,24.623391999999512,24.623391999999512,0.011646200000541285,34.6156248999996,comrce,[],[],[],[],[],[],[],p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
,2,2,0,,,_pad_,ipad,[],[],[],[],[],[],[],,,,,0,2,2,7,34.631953999998586,,,,,,,,34.62095399999998,34.631953999998586,34.631953999998586,34.631953999998586,0.021877500001210137,44.60730929999954,ipad,[],[],[],[],[],[],[],p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
,3,3,0,,,Bo_t_e,bottle,"[np.float64(-0.09444444444444444), np.float64(-0.09722222222222222)]","[np.float64(-0.3333333333333333), np.float64(-0.3111111111111111)]","[1, 1]","[0, 0]","[0, 0]","[4.742445999998381, 5.477006399998572]","[None, 'text_3']",,,,,0,3,3,8,44.62398690000009,,,,,,,,44.61160669999845,44.62398690000009,44.62398690000009,44.62398690000009,0.01250620000064373,50.08907159999944,bottle,"[np.float64(-0.09444444444444444), np.float64(-0.09722222222222222)]","[np.float64(-0.3333333333333333), np.float64(-0.3111111111111111)]","[1, 1]","[0, 0]","[0, 0]","[4.742445999998381, 5.477006399998572]","[None, 'text_3']",p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
,4,4,0,,,s_h_o_,shoes,[np.float64(0.030555555555555555)],[np.float64(-0.3212962962962963)],[1],[0],[0],[4.341611400001057],['text_3'],,,,,0,4,4,2,50.10251199999948,,,,,,,,50.091537999998764,50.10251199999948,50.10251199999948,50.10251199999948,0.002313200000571669,54.43335750000006,shoes,[np.float64(0.030555555555555555)],[np.float64(-0.3212962962962963)],[1],[0],[0],[4.341611400001057],['text_3'],p4,001,2025-10-16_12h26.02.258,wordpriming,,2025.1.1,60.045598627262606,2025-10-16 12h26.10.938590 +0530,
