study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
orange,0,0,0,2.02962963,13.9841436,,,,,,,,,,0,0,0,4,,,,,0.0483407,,0.0327014,0.0483407,0.0483407,8.052702,14.0318667,2.02962963,13.9841436,,,,,,,,,,,,,,,p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
vase,1,1,0,1.966666667,4.5408343,,,,,,,,,,0,1,1,0,,,,,14.0476182,,14.0390332,14.0476182,14.0476182,,18.5949704,1.966666667,4.5408343,,,,,,,,,,,,,,,p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
tiger,2,2,0,1.966666667,1.3615408,,,,,,,,,,0,2,2,1,,,,,18.6107798,,18.6002586,18.6107798,18.6107798,,19.9769828,1.966666667,1.3615408,,,,,,,,,,,,,,,p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
book,3,3,0,1.966666667,1.2485748,,,,,,,,,,0,3,3,2,,,,,19.9928803,,19.9788867,19.9928803,19.9928803,,21.2423413,1.966666667,1.2485748,,,,,,,,,,,,,,,p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
cushion,4,4,0,3.959259259,2.7961619,,,,,,,,,,0,4,4,3,,,,,21.2585191,,21.2457395,21.2585191,21.2585191,,24.058098,3.959259259,2.7961619,,,,,,,,,,,,,,,p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
,0,0,0,,,t_g_r,tiger,[np.float64(0.07222222222222222)],[np.float64(-0.31666666666666665)],[1],[0],[0],[7.396498899997823],['text_3'],,,,,0,0,0,1,24.086086,,,,,,,,,24.0729741,24.086086,24.086086,24.086086,0.0149173,31.4698586,tiger,[np.float64(0.07222222222222222)],[np.float64(-0.31666666666666665)],[1],[0],[0],[7.396498899997823],['text_3'],p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
,1,1,0,,,b_o_,,[],[],[],[],[],[],[],,,,,0,1,1,5,31.4833973,,,,,,,,,31.472016,31.4833973,31.4833973,31.4833973,0.0020494,41.4755672,,[],[],[],[],[],[],[],p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
,2,2,0,,,_pad_,,[],[],[],[],[],[],[],,,,,0,2,2,7,41.4919201,,,,,,,,,41.4785047,41.4919201,41.4919201,41.4919201,0.0085369,51.4839938,,[],[],[],[],[],[],[],p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
,3,3,0,,,c_a_t,cusit,[],[],[],[],[],[],[],,,,,0,3,3,4,51.5004113,,,,,,,,,51.4870798,51.5004113,51.5004113,51.5004113,0.0171274,61.4759407,cusit,[],[],[],[],[],[],[],p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
,4,4,0,,,c_s_i_n,cushion,[],[],[],[],[],[],[],,,,,0,4,4,3,61.492232,,,,,,,,,61.4777745,61.492232,61.492232,61.492232,0.0078053,71.4841545,cushion,[],[],[],[],[],[],[],p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
,5,5,0,,,s_h_o_,,[],[],[],[],[],[],[],,,,,0,5,5,2,71.5006963,,,,,,,,,71.486112,71.5006963,71.5006963,71.5006963,0.0161428,81.4759382,,[],[],[],[],[],[],[],p5,1,2025-10-16_14h24.13.659,wordpriming,,2025.1.1,60.22086605,2025-10-16 14h30.01.088350 +0530
